country_iso3,country_name,date,country_no2_index,n_cities_total,n_cities_with_value,average_data_coverage
IDN,Indonesia,2019-01-01,1.785853521829792e-5,25,12,0.0829904761904762
IDN,Indonesia,2019-01-02,1.972216109850109e-5,25,19,0.12055873015873016
IDN,Indonesia,2019-01-03,1.6834892681861402e-5,25,23,0.18860680272108843
IDN,Indonesia,2019-01-04,1.7485146236874992e-5,25,25,0.34174965986394557
IDN,Indonesia,2019-01-05,1.855133246130535e-5,25,25,0.2989315192743764
IDN,Indonesia,2019-01-06,1.9334583824533245e-5,25,25,0.40229115646258506
IDN,Indonesia,2019-01-07,1.9414233021525585e-5,25,25,0.400681179138322
IDN,Indonesia,2019-01-08,2.0150534200334245e-5,25,25,0.286184126984127
IDN,Indonesia,2019-01-09,2.058806948278125e-5,25,25,0.309059410430839
IDN,Indonesia,2019-01-10,2.092083850655761e-5,25,25,0.41507301587301587
IDN,Indonesia,2019-01-11,2.1208530469182413e-5,25,25,0.35699410430839
IDN,Indonesia,2019-01-12,2.1576277377767122e-5,25,25,0.24614965986394557
IDN,Indonesia,2019-01-13,2.1492795953863285e-5,25,25,0.1741750566893424
IDN,Indonesia,2019-01-14,2.1669910426208105e-5,25,25,0.08570430839002267
IDN,Indonesia,2019-01-15,2.1738590619971066e-5,25,25,0.17362448979591835
IDN,Indonesia,2019-01-16,2.1834190547400027e-5,25,25,0.02672290249433107
IDN,Indonesia,2019-01-17,2.170431866108929e-5,25,25,0.08927074829931973
IDN,Indonesia,2019-01-18,2.1611986784762714e-5,25,25,0.13078639455782312
IDN,Indonesia,2019-01-19,2.160785282886658e-5,25,25,0.08854784580498866
IDN,Indonesia,2019-01-20,2.1305360958088665e-5,25,25,0.16530975056689343
IDN,Indonesia,2019-01-21,2.120702360158507e-5,25,25,0.09761179138321996
IDN,Indonesia,2019-01-22,2.1205479568023884e-5,25,25,0.04087074829931973
IDN,Indonesia,2019-01-23,2.114380752872592e-5,25,25,0.06574240362811792
IDN,Indonesia,2019-01-24,2.1013838994094095e-5,25,25,0.09662585034013606
IDN,Indonesia,2019-01-25,2.1095912399653247e-5,25,25,0.041558276643990935
IDN,Indonesia,2019-01-26,2.0682411459980043e-5,25,25,0.18629931972789116
IDN,Indonesia,2019-01-27,2.0719015044869792e-5,25,25,0.059290702947845816
IDN,Indonesia,2019-01-28,2.0539140712049086e-5,25,25,0.08827120181405895
IDN,Indonesia,2019-01-29,2.0552748138497902e-5,25,25,0.07191655328798185
IDN,Indonesia,2019-01-30,2.0535024695378262e-5,25,25,0.25105034013605443
IDN,Indonesia,2019-01-31,2.070746383411975e-5,25,25,0.19703673469387756
IDN,Indonesia,2019-02-01,2.08834405951955e-5,25,25,0.20096780045351473
IDN,Indonesia,2019-02-02,2.083725049508493e-5,25,25,0.16941768707482993
IDN,Indonesia,2019-02-03,2.0716313188424006e-5,25,25,0.1547092970521542
IDN,Indonesia,2019-02-04,2.0800010913630555e-5,25,25,0.10473650793650793
IDN,Indonesia,2019-02-05,2.0582319505281302e-5,25,25,0.18729614512471657
IDN,Indonesia,2019-02-06,2.0444655337173033e-5,25,25,0.33797278911564627
IDN,Indonesia,2019-02-07,2.0319954259915054e-5,25,25,0.3564453514739229
IDN,Indonesia,2019-02-08,2.0443976359254236e-5,25,25,0.12684353741496598
IDN,Indonesia,2019-02-09,2.0160944012369624e-5,25,25,0.26613968253968256
IDN,Indonesia,2019-02-10,2.019054828597806e-5,25,25,0.1675219954648526
IDN,Indonesia,2019-02-11,1.9997864407084077e-5,25,25,0.2891374149659864
IDN,Indonesia,2019-02-12,1.9965097410463003e-5,25,25,0.22967346938775507
IDN,Indonesia,2019-02-13,1.9784779293732e-5,25,25,0.22936235827664397
IDN,Indonesia,2019-02-14,1.9806109547787152e-5,25,25,0.28087891156462585
IDN,Indonesia,2019-02-15,1.9787924831072376e-5,25,25,0.20024308390022677
IDN,Indonesia,2019-02-16,1.9874507597880655e-5,25,25,0.400875283446712
IDN,Indonesia,2019-02-17,1.9989328022449336e-5,25,25,0.4230222222222222
