country_iso3,country_name,date,country_no2_index_daily,country_no2_index_14dma,country_no2_index_28dma
CHN,China,2019-01-01,1.7542504463211007e-4,1.7542504463211007e-4,1.7542504463211007e-4
CHN,China,2019-01-02,2.685096533678622e-4,2.2196734899998613e-4,2.2196734899998613e-4
CHN,China,2019-01-03,2.7261503361287727e-4,2.388499105376165e-4,2.388499105376165e-4
CHN,China,2019-01-04,1.4041278732429205e-4,2.142406297342854e-4,2.142406297342854e-4
CHN,China,2019-01-05,1.5276487822553158e-4,2.0194547943253464e-4,2.0194547943253464e-4
CHN,China,2019-01-06,1.8675893559192135e-4,1.994143887924324e-4,1.994143887924324e-4
CHN,China,2019-01-07,2.0467154497282502e-4,2.0016541110391708e-4,2.0016541110391708e-4
CHN,China,2019-01-08,1.4047007965586634e-4,1.9270349467291072e-4,1.9270349467291072e-4
CHN,China,2019-01-09,1.9953200668999568e-4,1.9346221823036462e-4,1.9346221823036462e-4
CHN,China,2019-01-10,1.9622776886511246e-4,1.937387732938394e-4,1.937387732938394e-4
CHN,China,2019-01-11,2.7849542448548053e-4,2.0144392340217042e-4,2.0144392340217042e-4
CHN,China,2019-01-12,2.616906048890847e-4,2.064644801927466e-4,2.064644801927466e-4
CHN,China,2019-01-13,1.789533195455254e-4,2.043482370660373e-4,2.043482370660373e-4
CHN,China,2019-01-14,2.8556802923657647e-4,2.1014965079250436e-4,2.1014965079250436e-4
CHN,China,2019-01-15,6.834301054962937e-5,2.0250093407232718e-4,2.006958747763127e-4
CHN,China,2019-01-16,2.0602752458412065e-4,1.9803792487348848e-4,2.010291028893007e-4
CHN,China,2019-01-17,2.1183937721360238e-4,1.9369680655925456e-4,2.016650013789655e-4
CHN,China,2019-01-18,1.8900815041033857e-4,1.971679039225436e-4,2.0096184299181957e-4
CHN,China,2019-01-19,2.2663495530525393e-4,2.0244433799966664e-4,2.0231305942936873e-4
CHN,China,2019-01-20,2.2168904432329868e-4,2.0493934576619357e-4,2.0328185867406524e-4
CHN,China,2019-01-21,2.1360426038479746e-4,2.0557739686704875e-4,2.0377340161267153e-4
CHN,China,2019-01-22,1.9819532032963047e-4,2.097006283437462e-4,2.0351985246344238e-4
CHN,China,2019-01-23,2.1994210703239677e-4,2.1115849265391772e-4,2.042338635316578e-4
CHN,China,2019-01-24,2.781788370772738e-4,2.1701214038335779e-4,2.0731490409605846e-4
CHN,China,2019-01-25,1.9393828431348885e-4,2.1097234465678697e-4,2.067798393047557e-4
CHN,China,2019-01-26,1.627416451701815e-4,2.0390456181972245e-4,2.0508606260727206e-4
CHN,China,2019-01-27,1.6337044459259562e-4,2.027914993230846e-4,2.035410397178396e-4
CHN,China,2019-01-28,1.0875589617910246e-4,1.9016206124755075e-4,2.0015585602002755e-4
CHN,China,2019-01-29,2.0825428909125495e-4,2.00155724000524e-4,2.013283290364256e-4
CHN,China,2019-01-30,9.858653138581451e-5,1.9248136734350215e-4,1.9525964610849533e-4
CHN,China,2019-01-31,7.62891081530758e-5,1.8279920526775024e-4,1.882480059135024e-4
CHN,China,2019-02-01,1.1283875945093945e-4,1.77358534484936e-4,1.872632192037398e-4
CHN,China,2019-02-02,1.4312768223845377e-4,1.7139372926587885e-4,1.8691903363277275e-4
CHN,China,2019-02-03,6.005594051405889e-5,1.598485075652189e-4,1.8239392666570623e-4
CHN,China,2019-02-04,8.285701328384979e-5,1.5050941848657976e-4,1.7804340767681425e-4
CHN,China,2019-02-05,6.541406196826325e-5,1.4102504288933924e-4,1.7536283561654274e-4
CHN,China,2019-02-06,6.475575749222949e-5,1.2994030363647015e-4,1.7054939814519393e-4
CHN,China,2019-02-07,4.985230092506202e-5,1.1363126533988359e-4,1.653217028616207e-4
CHN,China,2019-02-08,9.602012268068063e-5,1.0663711093754016e-4,1.5880472779716357e-4
CHN,China,2019-02-09,8.074474766912683e-5,1.0078018968746481e-4,1.5234237575359363e-4
CHN,China,2019-02-10,5.260233161261011e-5,9.286818161746585e-5,1.4782984047027523e-4
CHN,China,2019-02-11,1.0202267441975234e-4,9.23872372060837e-5,1.4127464922681723e-4
CHN,China,2019-02-12,7.296049962169178e-5,8.27233951011149e-5,1.4143955955081946e-4
CHN,China,2019-02-13,9.545081198856208e-5,8.249941514416831e-5,1.3749039124383522e-4
CHN,China,2019-02-14,1.0268617049905425e-4,8.438491959745248e-5,1.3359206243260136e-4
CHN,China,2019-02-15,6.424646304934393e-5,8.09140412830528e-5,1.291362878839944e-4
CHN,China,2019-02-16,9.881746394625485e-5,7.774902569075287e-5,1.2457137747831585e-4
CHN,China,2019-02-17,1.2836196079790457e-4,8.2628027139599e-5,1.2123826735240894e-4
CHN,China,2019-02-18,1.7219096827847903e-4,8.900902392492965e-5,1.1975922120575471e-4
CHN,China,2019-02-19,1.0450689498336982e-4,9.18013691402944e-5,1.1641320601481683e-4
CHN,China,2019-02-20,1.344996697932857e-4,9.678307716179842e-5,1.133616903991343e-4
CHN,China,2019-02-21,1.968549969856852e-4,1.0728326973755722e-4,1.1045726753872042e-4
CHN,China,2019-02-22,1.6459732939428436e-4,1.1218164164567178e-4,1.0940937629160597e-4
CHN,China,2019-02-23,1.7171022796229265e-4,1.1867917595232647e-4,1.0972968281989564e-4
CHN,China,2019-02-24,2.1012334891046085e-4,1.2993067718788725e-4,1.1139942940267655e-4
CHN,China,2019-02-25,1.8470438890727753e-4,1.3583651393699617e-4,1.1411187557153995e-4
CHN,China,2019-02-26,1.2495584975518765e-4,1.3955046751796017e-4,1.1113693130953755e-4
CHN,China,2019-02-27,1.393004689168751e-4,1.4268258586998253e-4,1.1259100050707543e-4
CHN,China,2019-02-28,1.337346100325254e-4,1.4490033155094476e-4,1.1464262557419862e-4
CHN,China,2019-03-01,1.329807752423415e-4,1.4980992527901602e-4,1.153619832810344e-4
CHN,China,2019-03-02,1.1793048676069632e-4,1.5117514119433327e-4,1.1446208344254307e-4
CHN,China,2019-03-03,1.445899291172536e-4,1.523342817885725e-4,1.1748115446408574e-4
CHN,China,2019-03-04,1.145441047276992e-4,1.482166486778025e-4,1.1861283630136607e-4
CHN,China,2019-03-05,1.3881850821893338e-4,1.5066747819462845e-4,1.2123442366746144e-4
CHN,China,2019-03-06,8.207413487854251e-5,1.4692279712928967e-4,1.2185293714554404e-4
CHN,China,2019-03-07,1.597873897517807e-4,1.4427511089829648e-4,1.2577919031792685e-4
CHN,China,2019-03-08,2.1997396611594816e-4,1.482305849498439e-4,1.3020611329775785e-4
CHN,China,2019-03-09,1.8111837036184045e-4,1.4890259512124018e-4,1.3379088553678334e-4
CHN,China,2019-03-10,1.3744025941836704e-4,1.437109458718049e-4,1.3682081152984607e-4
CHN,China,2019-03-11,1.118135165765335e-4,1.3850445499103745e-4,1.3717048446401683e-4
CHN,China,2019-03-12,1.1395653320843078e-4,1.3771878952341198e-4,1.3863462852068607e-4
CHN,China,2019-03-13,1.3658664554851816e-4,1.3752494499710076e-4,1.4010376543354165e-4
CHN,China,2019-03-14,1.680849479017381e-4,1.3997854055918739e-4,1.4243943605506606e-4
CHN,China,2019-03-15,1.3584566387820076e-4,1.4018317546174875e-4,1.449965503703824e-4
CHN,China,2019-03-16,2.0930940619170188e-4,1.4671024113539202e-4,1.4894269116486265e-4
CHN,China,2019-03-17,2.3409574684460783e-4,1.5310351383020302e-4,1.5271889780938774e-4
CHN,China,2019-03-18,1.4852359516911306e-4,0.00015553062029030404,1.5187363448405326e-4
CHN,China,2019-03-19,1.471294999133594e-4,1.561242625541916e-4,1.5339587037441004e-4
CHN,China,2019-03-20,1.2295362753533446e-4,1.5904422631539102e-4,1.5298351172234035e-4
CHN,China,2019-03-21,6.544274818991626e-5,1.523053233466864e-4,1.4829021712249146e-4
CHN,China,2019-03-22,1.5554735206245953e-4,1.477034223428658e-4,1.4796700364635485e-4
CHN,China,2019-03-23,1.8257832187320666e-4,1.4780770459367766e-4,1.4835514985745893e-4
CHN,China,2019-03-24,2.0855385193828323e-4,1.5288724691652882e-4,1.4829909639416686e-4
CHN,China,2019-03-25,1.172161074598464e-4,1.5327314626533689e-4,1.4588880062818717e-4
CHN,China,2019-03-26,1.8264880900195057e-4,1.5817973739344545e-4,1.4794926345842871e-4
CHN,China,2019-03-27,1.649920140790411e-4,1.6020869228848281e-4,1.488668186427918e-4
CHN,China,2019-03-28,1.2221750471558837e-4,1.5693244634661498e-4,1.4845549345290118e-4
CHN,China,2019-03-29,1.5279620308277062e-4,1.581431991469414e-4,1.4916318730434508e-4
CHN,China,2019-03-30,1.1188874433652823e-4,1.5118458044300042e-4,1.4894741078919622e-4
CHN,China,2019-03-31,1.446532811647636e-4,1.447958328944401e-4,1.4894967336232158e-4
CHN,China,2019-04-01,1.6527836790285777e-4,1.4599260237542188e-4,1.5076161133286296e-4
CHN,China,2019-04-02,1.3745120391288137e-4,1.4530129551824488e-4,1.5071277903621824e-4
CHN,China,2019-04-03,1.6998988583252046e-4,1.4866102825375816e-4,1.5385262728457457e-4
CHN,China,2019-04-04,1.5124343505781385e-4,1.5478964874432227e-4,1.5354748604550435e-4
CHN,China,2019-04-05,1.1092059098396487e-4,1.516020229530012e-4,1.496527226479335e-4
CHN,China,2019-04-06,1.0338737877062763e-4,1.4594552701710273e-4,1.468766158053902e-4
CHN,China,2019-04-07,1.210473898854748e-4,1.3969506544190212e-4,1.4629115617921547e-4
CHN,China,2019-04-08,1.1868268823163007e-4,1.3979982121131523e-4,1.4653648373832607e-4
CHN,China,2019-04-09,7.37645183562003e-5,1.3202237187947592e-4,1.4510105463646069e-4
CHN,China,2019-04-10,9.504868911898609e-5,1.2702642009661486e-4,1.4361755619254882e-4
CHN,China,2019-04-11,1.2158791923600742e-4,1.2698144970521623e-4,1.4195694802591558e-4
CHN,China,2019-04-12,1.2185119453177991e-4,1.2477109195157402e-4,1.414571455492577e-4
CHN,China,2019-04-13,9.7541445763438e-5,1.2374628491063902e-4,1.3746543267681972e-4
CHN,China,2019-04-14,9.637706270019718e-5,1.2029798359174141e-4,1.3254690824309075e-4
CHN,China,2019-04-15,,1.1683795402934784e-4,1.3195517909768252e-4
CHN,China,2019-04-16,1.2784043307866624e-4,1.1609866396517745e-4,1.312407692149161e-4
CHN,China,2019-04-17,1.215107237231301e-4,1.1236949764907049e-4,1.311873283329826e-4
CHN,China,2019-04-18,9.173211494307313e-5,1.0779170379409044e-4,1.3216100858309953e-4
CHN,China,2019-04-19,1.0826311967866774e-4,1.075872829244522e-4,1.3040974071703318e-4
CHN,China,2019-04-20,1.258934029340398e-4,1.0931851555240698e-4,1.283102992748418e-4
CHN,China,2019-04-21,1.0787151780934485e-4,1.0830498693116621e-4,1.2458132393673298e-4
CHN,China,2019-04-22,1.0094763932064437e-4,1.0694075239955194e-4,1.2397878807972549e-4
CHN,China,2019-04-23,6.694611355376316e-5,1.0641625972244138e-4,1.1969350306312597e-4
CHN,China,2019-04-24,7.282270131304165e-5,1.0470656835275335e-4,1.162798248125334e-4
