country_iso3,country_name,date,country_no2_index_daily,country_no2_index_14dma,country_no2_index_28dma
HKG,Hong Kong,2019-01-01,9.211770399512206e-5,9.211770399512206e-5,9.211770399512206e-5
HKG,Hong Kong,2019-01-02,1.4650964294560254e-4,1.193136734703623e-4,1.193136734703623e-4
HKG,Hong Kong,2019-01-03,,1.193136734703623e-4,1.193136734703623e-4
HKG,Hong Kong,2019-01-04,3.451368233317991e-5,9.104700975796817e-5,9.104700975796817e-5
HKG,Hong Kong,2019-01-05,,9.104700975796817e-5,9.104700975796817e-5
HKG,Hong Kong,2019-01-06,,9.104700975796817e-5,9.104700975796817e-5
HKG,Hong Kong,2019-01-07,,9.104700975796817e-5,9.104700975796817e-5
HKG,Hong Kong,2019-01-08,,9.104700975796817e-5,9.104700975796817e-5
HKG,Hong Kong,2019-01-09,2.6625052317927615e-4,1.3484788811329515e-4,1.3484788811329515e-4
HKG,Hong Kong,2019-01-10,,1.3484788811329515e-4,1.3484788811329515e-4
HKG,Hong Kong,2019-01-11,2.939704372707495e-4,1.6667239794478604e-4,1.6667239794478604e-4
HKG,Hong Kong,2019-01-12,4.7568425429873515e-4,2.1817437400377756e-4,2.1817437400377756e-4
HKG,Hong Kong,2019-01-13,,2.1817437400377756e-4,2.1817437400377756e-4
HKG,Hong Kong,2019-01-14,,2.1817437400377756e-4,2.1817437400377756e-4
HKG,Hong Kong,2019-01-15,,2.4338570800550865e-4,2.1817437400377756e-4
HKG,Hong Kong,2019-01-16,,2.676047242704852e-4,2.1817437400377756e-4
HKG,Hong Kong,2019-01-17,2.343311141750664e-4,2.609500022514014e-4,2.2048247974253311e-4
HKG,Hong Kong,2019-01-18,,3.175590822309568e-4,2.2048247974253311e-4
HKG,Hong Kong,2019-01-19,1.8699645774105712e-4,2.9144655733297686e-4,2.1629672699234858e-4
HKG,Hong Kong,2019-01-20,1.1134542819060812e-4,2.614297024759154e-4,2.04635471569933e-4
HKG,Hong Kong,2019-01-21,9.149918914076684e-5,2.3715391485660848e-4,1.9332184332701636e-4
HKG,Hong Kong,2019-01-22,1.823925442064359e-4,2.303087435253369e-4,1.923282706796909e-4
HKG,Hong Kong,2019-01-23,2.648442242232446e-4,2.3013295615583295e-4,1.9837126680832037e-4
HKG,Hong Kong,2019-01-24,2.0742008461292421e-4,2.2760930376217642e-4,1.9906732971636682e-4
HKG,Hong Kong,2019-01-25,1.9651151628921035e-4,2.1678053476422763e-4,1.9888477161442706e-4
HKG,Hong Kong,2019-01-26,1.3597847546899114e-4,1.790354482275894e-4,1.9469101853806468e-4
HKG,Hong Kong,2019-01-27,1.5446487752744458e-4,1.7657839115757493e-4,1.921768847249009e-4
HKG,Hong Kong,2019-01-28,,1.7657839115757493e-4,1.921768847249009e-4
