country_iso3,country_name,date,country_no2_index_daily,country_no2_index_14dma,country_no2_index_28dma
IND,India,2019-01-01,6.309382719277837e-5,6.309382719277837e-5,6.309382719277837e-5
IND,India,2019-01-02,5.6360967500959606e-5,5.972739734686899e-5,5.972739734686899e-5
IND,India,2019-01-03,6.37214652718875e-5,6.105875332187516e-5,6.105875332187516e-5
IND,India,2019-01-04,5.271492581900251e-5,5.8972796446156995e-5,5.8972796446156995e-5
IND,India,2019-01-05,5.956138530028562e-5,5.909051421698272e-5,5.909051421698272e-5
IND,India,2019-01-06,5.0944011101792356e-5,5.773276369778433e-5,5.773276369778433e-5
IND,India,2019-01-07,5.439671077845291e-5,5.725618470930841e-5,5.725618470930841e-5
IND,India,2019-01-08,5.100756471065804e-5,5.647510720947711e-5,5.647510720947711e-5
IND,India,2019-01-09,5.694213303773866e-5,5.652699896817284e-5,5.652699896817284e-5
IND,India,2019-01-10,6.2969623108366e-5,5.7171261382192155e-5,5.7171261382192155e-5
IND,India,2019-01-11,6.838621304219324e-5,5.819080244219225e-5,5.819080244219225e-5
IND,India,2019-01-12,6.309922331612784e-5,5.859983751502022e-5,5.859983751502022e-5
IND,India,2019-01-13,4.7235615647331235e-5,5.772566660212107e-5,5.772566660212107e-5
IND,India,2019-01-14,4.2135423775198136e-5,5.661207782876943e-5,5.661207782876943e-5
IND,India,2019-01-15,4.735362968858892e-5,5.548777800704161e-5,5.5994847952757394e-5
IND,India,2019-01-16,6.182396049316263e-5,5.587799179219897e-5,5.635916748653272e-5
IND,India,2019-01-17,6.767713995414095e-5,5.61605399837885e-5,5.702493057286262e-5
IND,India,2019-01-18,6.406961004210484e-5,5.697158885686724e-5,5.741630165448719e-5
IND,India,2019-01-19,6.261096732590851e-5,5.7189416144411734e-5,5.768970511087778e-5
IND,India,2019-01-20,5.864191978257841e-5,5.773926676446788e-5,5.7737315844462813e-5
IND,India,2019-01-21,5.2165320888269176e-5,5.75798817723119e-5,5.7471982751310735e-5
IND,India,2019-01-22,5.8110982090786784e-5,5.8087268728035384e-5,5.750102817583238e-5
IND,India,2019-01-23,5.9407547629454346e-5,5.8263369770300785e-5,5.758392032598985e-5
IND,India,2019-01-24,4.6682275475807934e-5,5.709998779654664e-5,5.712968512389894e-5
IND,India,2019-01-25,5.702655258449611e-5,5.6288583478139706e-5,5.712555982232282e-5
IND,India,2019-01-26,3.8541670325615045e-5,5.453447255024593e-5,5.6410794841680216e-5
IND,India,2019-01-27,3.357294493618115e-5,5.3558567499449497e-5,5.5564948548883955e-5
IND,India,2019-01-28,4.618700765035104e-5,5.3847966347674706e-5,5.5230022088222064e-5
IND,India,2019-01-29,5.153619857366355e-5,5.414672126803718e-5,5.4817249637539394e-5
IND,India,2019-01-30,5.943154835001286e-5,5.397583468638362e-5,5.49269132392913e-5
IND,India,2019-01-31,5.8946291918729804e-5,5.335220268385425e-5,5.475637133382138e-5
IND,India,2019-02-01,6.972287460118642e-5,5.3756007295217224e-5,5.5363798076042235e-5
IND,India,2019-02-02,5.911760463833259e-5,5.35064813889618e-5,5.534794876668677e-5
IND,India,2019-02-03,5.3815819132538606e-5,5.3161759913958956e-5,5.545051333921342e-5
IND,India,2019-02-04,5.465857155732872e-5,5.333984924746321e-5,5.5459865509887554e-5
IND,India,2019-02-05,5.491394558180904e-5,5.311148949682194e-5,5.559937911242866e-5
IND,India,2019-02-06,4.8712325029118844e-5,5.2347545025369405e-5,5.5305457397835095e-5
IND,India,2019-02-07,4.2938203796575564e-5,5.208011133399567e-5,5.4590049565271156e-5
IND,India,2019-02-08,5.055214150135483e-5,5.1617653399485577e-5,5.395311843881264e-5
