country_iso3,country_name,date,country_no2_index_daily,country_no2_index_14dma,country_no2_index_28dma
IDN,Indonesia,2019-01-01,1.785853521829792e-5,1.785853521829792e-5,1.785853521829792e-5
IDN,Indonesia,2019-01-02,2.339404886142472e-5,2.062629203986132e-5,2.062629203986132e-5
IDN,Indonesia,2019-01-03,1.4540844407754468e-5,1.8597809495825702e-5,1.8597809495825702e-5
IDN,Indonesia,2019-01-04,1.8507672007523044e-5,1.857527512375004e-5,1.857527512375004e-5
IDN,Indonesia,2019-01-05,2.306927880237248e-5,1.947407585947453e-5,1.947407585947453e-5
IDN,Indonesia,2019-01-06,2.2310397113823343e-5,1.9946796068532662e-5,1.9946796068532662e-5
IDN,Indonesia,2019-01-07,2.0195724180028724e-5,1.9982357227317815e-5,1.9982357227317815e-5
IDN,Indonesia,2019-01-08,2.4762059882031846e-5,2.057982005915707e-5,2.057982005915707e-5
IDN,Indonesia,2019-01-09,2.4275785562073667e-5,2.0990482892814467e-5,2.0990482892814467e-5
IDN,Indonesia,2019-01-10,2.3413228361574463e-5,2.1232757439690466e-5,2.1232757439690466e-5
IDN,Indonesia,2019-01-11,2.41966866081796e-5,2.1502205545916752e-5,2.1502205545916752e-5
IDN,Indonesia,2019-01-12,2.5159092370705754e-5,2.180694611464917e-5,2.180694611464917e-5
IDN,Indonesia,2019-01-13,1.7981392202311195e-5,2.1512672736777018e-5,2.1512672736777018e-5
IDN,Indonesia,2019-01-14,2.4468715851510017e-5,2.1723818673543662e-5,2.1723818673543662e-5
IDN,Indonesia,2019-01-15,2.4280061641434203e-5,2.218249913233911e-5,2.189423487140303e-5
IDN,Indonesia,2019-01-16,2.7399264112268612e-5,2.2468585935970816e-5,2.2238299198957127e-5
IDN,Indonesia,2019-01-17,2.1514995993895873e-5,2.29667396206952e-5,2.2195751951600585e-5
IDN,Indonesia,2019-01-18,1.71155717300068e-5,2.2867303886586898e-5,2.1913519717067595e-5
IDN,Indonesia,2019-01-19,1.772238338025938e-5,2.248538278500739e-5,2.169293359407769e-5
IDN,Indonesia,2019-01-20,1.76212459137407e-5,2.2150443413572918e-5,2.1489349210060842e-5
IDN,Indonesia,2019-01-21,1.858273772967048e-5,2.2035230095690184e-5,2.1350939139566062e-5
IDN,Indonesia,2019-01-22,1.4701140156929135e-5,2.1316592972468562e-5,2.1048675549446202e-5
IDN,Indonesia,2019-01-23,1.69407699769127e-5,2.079266328781421e-5,2.0870070959336048e-5
IDN,Indonesia,2019-01-24,1.953737809048971e-5,2.0515816839879583e-5,2.0814542089800783e-5
IDN,Indonesia,2019-01-25,2.0397712008052636e-5,2.0244461511299085e-5,2.0797868886530858e-5
IDN,Indonesia,2019-01-26,1.2865995851341263e-5,1.9366383188487336e-5,2.0492796846715876e-5
IDN,Indonesia,2019-01-27,1.8031211990777492e-5,1.9369941744806358e-5,2.0401627037236675e-5
IDN,Indonesia,2019-01-28,1.1765904989260658e-5,1.8462598111788545e-5,2.0093208392666102e-5
IDN,Indonesia,2019-01-29,2.0707763020958225e-5,1.820743392461169e-5,2.01949665284754e-5
IDN,Indonesia,2019-01-30,2.0191087293778787e-5,1.769256415186242e-5,2.0080575043916616e-5
IDN,Indonesia,2019-01-31,2.0218538666658657e-5,1.759996005705976e-5,2.028334983887748e-5
IDN,Indonesia,2019-02-01,2.035653971417348e-5,1.7831457770214522e-5,2.034938082840071e-5
IDN,Indonesia,2019-02-02,2.11766839585708e-5,1.8078193525808194e-5,2.0281788155407795e-5
IDN,Indonesia,2019-02-03,1.689006135147757e-5,1.8025966057075113e-5,2.0088204735324016e-5
IDN,Indonesia,2019-02-04,2.4350111017448895e-5,1.843792129191643e-5,2.023657569380331e-5
IDN,Indonesia,2019-02-05,2.180099897992793e-5,1.8945054064987773e-5,2.0130823518728168e-5
IDN,Indonesia,2019-02-06,2.1278387945607352e-5,1.9254883919894533e-5,2.002377360385437e-5
IDN,Indonesia,2019-02-07,2.078153774716762e-5,1.93437524668001e-5,1.992978465333984e-5
IDN,Indonesia,2019-02-08,2.7795028499107626e-5,1.9872132216161168e-5,2.0058296863730128e-5
IDN,Indonesia,2019-02-09,2.1533776919477488e-5,2.0491259435313755e-5,1.9928821311900546e-5
IDN,Indonesia,2019-02-10,2.257064357693508e-5,2.0815504548610726e-5,2.009272314670854e-5
IDN,Indonesia,2019-02-11,1.9295550876189304e-5,2.135333639767706e-5,1.9907967254732802e-5
IDN,Indonesia,2019-02-12,2.216014865824679e-5,2.1457078228911956e-5,1.983225607676182e-5
IDN,Indonesia,2019-02-13,1.7271388788234267e-5,2.1248528335658776e-5,1.9470546243760597e-5
IDN,Indonesia,2019-02-14,2.0778363508733836e-5,2.128851582437843e-5,1.9444237940719095e-5
IDN,Indonesia,2019-02-15,1.9095135299213306e-5,2.1198415509024132e-5,1.951493663961933e-5
IDN,Indonesia,2019-02-16,2.217728985555497e-5,2.1269887358808715e-5,1.9674040442308456e-5
IDN,Indonesia,2019-02-17,2.029732409803018e-5,2.151326326927676e-5,1.9769614663175938e-5
IDN,Indonesia,2019-02-18,1.5796618925561643e-5,2.0902299548427672e-5,1.967011042017205e-5
IDN,Indonesia,2019-02-19,1.838593848544507e-5,2.065836665596461e-5,1.980171036047619e-5
IDN,Indonesia,2019-02-20,2.2181912786884577e-5,2.072290414462727e-5,1.99888940322609e-5
IDN,Indonesia,2019-02-21,1.997238656099291e-5,2.0665107631329074e-5,2.0004430049064587e-5
IDN,Indonesia,2019-02-22,2.058943509670595e-5,2.0150422388300384e-5,2.0011277302230774e-5
IDN,Indonesia,2019-02-23,2.3111877415292084e-5,2.026314385228714e-5,2.0377201643800447e-5
IDN,Indonesia,2019-02-24,1.756496036484384e-5,1.990559505142348e-5,2.0360549800017103e-5
IDN,Indonesia,2019-02-25,2.1097019509059087e-5,2.003427138234275e-5,2.0693803890009905e-5
IDN,Indonesia,2019-02-26,2.0720715271516463e-5,1.993145471186201e-5,2.0694266470386984e-5
IDN,Indonesia,2019-02-27,2.2622539252320167e-5,2.0313679745011004e-5,2.078110404033489e-5
IDN,Indonesia,2019-02-28,2.2578916476923048e-5,2.0442290671310235e-5,2.0865403247844334e-5
IDN,Indonesia,2019-03-01,1.7489662966902393e-5,2.032761407614517e-5,2.0763014792584652e-5
IDN,Indonesia,2019-03-02,1.9668495480695656e-5,2.0148414477940932e-5,2.0709150918374824e-5
IDN,Indonesia,2019-03-03,2.3631428995499305e-5,2.0386564827760156e-5,2.094991404851846e-5
IDN,Indonesia,2019-03-04,2.145968423862814e-5,2.0791069492979193e-5,2.0846684520703432e-5
IDN,Indonesia,2019-03-05,2.1816844047779463e-5,2.103613417600308e-5,2.0847250415983843e-5
IDN,Indonesia,2019-03-06,1.2810769570494067e-5,2.0366766803403754e-5,2.0544835474015513e-5
IDN,Indonesia,2019-03-07,2.2727086807056377e-5,2.0563531106694003e-5,2.061431936901154e-5
IDN,Indonesia,2019-03-08,2.593585162954143e-5,2.0945418001896538e-5,2.054792019509846e-5
IDN,Indonesia,2019-03-09,2.0427894340221417e-5,2.0753704925105775e-5,2.0508424388696458e-5
IDN,Indonesia,2019-03-10,1.3565310710350122e-5,2.046801566407051e-5,2.0186805357746996e-5
IDN,Indonesia,2019-03-11,1.630052923259966e-5,2.012540921575198e-5,2.0079840299047364e-5
IDN,Indonesia,2019-03-12,2.8360011572275086e-5,2.0671073237234737e-5,2.0301263974548374e-5
IDN,Indonesia,2019-03-13,2.0347090527252703e-5,2.0508541185444204e-5,2.0411110465227604e-5
IDN,Indonesia,2019-03-14,2.2713195937452018e-5,2.0518132575481987e-5,2.048021162339611e-5
IDN,Indonesia,2019-03-15,2.1509868060356066e-5,2.080529008215725e-5,2.056645207915121e-5
IDN,Indonesia,2019-03-16,2.015198186833479e-5,2.0839824824131476e-5,2.0494119651036204e-5
IDN,Indonesia,2019-03-17,1.796040538991566e-5,2.0434751709446928e-5,2.0410658268603542e-5
IDN,Indonesia,2019-03-18,2.1435077537222472e-5,2.0432994087917953e-5,2.061203179044857e-5
IDN,Indonesia,2019-03-19,1.8766730632585628e-5,2.0215128843975537e-5,2.0625631509989308e-5
IDN,Indonesia,2019-03-20,1.9711509906287663e-5,2.0708038867960793e-5,2.0537402835682275e-5
IDN,Indonesia,2019-03-21,2.0672728736648474e-5,2.05612990057888e-5,2.05624150562414e-5
IDN,Indonesia,2019-03-22,2.205404204617914e-5,2.028402689269149e-5,2.0614722447294014e-5
IDN,Indonesia,2019-03-23,2.8614751992097336e-5,2.086880243925406e-5,2.0811253682179915e-5
IDN,Indonesia,2019-03-24,2.3609394126975614e-5,2.1586236969013022e-5,2.1027126316541767e-5
IDN,Indonesia,2019-03-25,2.3639537725490974e-5,2.21104518613624e-5,2.111793053855719e-5
IDN,Indonesia,2019-03-26,2.2351080421236554e-5,2.1681242493431078e-5,2.117615786533291e-5
IDN,Indonesia,2019-03-27,2.246026920259201e-5,2.1832183827383884e-5,2.1170362506414046e-5
IDN,Indonesia,2019-03-28,2.0261830951024712e-5,2.1657086328353364e-5,2.1087609451917677e-5
IDN,Indonesia,2019-03-29,2.0497981500493497e-5,2.1584808716934608e-5,2.119504939954593e-5
IDN,Indonesia,2019-03-30,2.004338456418967e-5,2.157705176663853e-5,2.1208438295385003e-5
IDN,Indonesia,2019-03-31,2.4507701815884366e-5,2.2044715797064865e-5,2.1239733753255896e-5
IDN,Indonesia,2019-04-01,2.4165053207442548e-5,2.223971405922344e-5,2.1336354073570695e-5
IDN,Indonesia,2019-04-02,1.8643610124213993e-5,2.2230919737196897e-5,2.1223024290586215e-5
IDN,Indonesia,2019-04-03,2.848762693590731e-5,2.2857785239312587e-5,2.1782912053636688e-5
IDN,Indonesia,2019-04-04,2.3380863648838554e-5,2.3051223447326163e-5,2.180626122655748e-5
IDN,Indonesia,2019-04-05,2.1608018030592838e-5,2.301936458907e-5,2.1651695740880746e-05
IDN,Indonesia,2019-04-06,2.2782229717852365e-5,2.2602755855195357e-5,2.173577914722471e-5
IDN,Indonesia,2019-04-07,2.0326047846708327e-5,2.236823112089055e-5,2.1977234044951788e-5
IDN,Indonesia,2019-04-08,2.526982226456332e-5,2.2484680016538576e-5,2.229756593895049e-5
IDN,Indonesia,2019-04-09,2.619335205301839e-5,2.2759127990237278e-5,2.2220185241834178e-5
IDN,Indonesia,2019-04-10,2.4846974288260447e-5,2.292960692492788e-5,2.2380895376155884e-5
IDN,Indonesia,2019-04-11,1.8773846677287134e-5,2.2823322333946625e-5,2.2240204331149996e-5
IDN,Indonesia,2019-04-12,2.2627445274514843e-5,2.2975426889233865e-5,2.2280117803084236e-5
IDN,Indonesia,2019-04-13,2.134394000244198e-5,2.3068323706251887e-5,2.2322687736445207e-5
IDN,Indonesia,2019-04-14,1.9348479248587167e-5,2.26998078085878e-5,2.2372261802826334e-5
IDN,Indonesia,2019-04-15,,2.2587096624060514e-5,2.2406972331182033e-5
IDN,Indonesia,2019-04-16,2.499008748985034e-5,2.3075287190647923e-5,2.2637467029599242e-5
IDN,Indonesia,2019-04-17,2.068207079823541e-5,2.2474859795442395e-5,2.267341372930101e-5
IDN,Indonesia,2019-04-18,1.6966732962835936e-5,2.1981465127288344e-5,2.2536154626567215e-5
IDN,Indonesia,2019-04-19,2.2593098478794115e-5,2.2057240546380753e-5,2.2556119679627027e-5
IDN,Indonesia,2019-04-20,2.0700721410673147e-5,2.189712452275158e-5,2.2263007435870577e-5
IDN,Indonesia,2019-04-21,1.9345712969636887e-5,2.1821714147592238e-5,2.2105093318932106e-5
IDN,Indonesia,2019-04-22,1.601474121742922e-5,2.110978483627423e-5,2.1822693448263152e-5
IDN,Indonesia,2019-04-23,1.78367892682306e-5,2.046697231436748e-5,2.1655497479633302e-5
IDN,Indonesia,2019-04-24,1.4736299501753623e-5,1.96892281000208e-5,2.1369424527750398e-5
IDN,Indonesia,2019-04-25,1.8037390325977506e-5,1.9632577611458522e-5,2.1287037837933834e-5
IDN,Indonesia,2019-04-26,1.749363555152978e-5,1.9237669171228902e-5,2.1175765765749994e-5
IDN,Indonesia,2019-04-27,2.195219204901367e-5,1.9284457790195953e-5,2.1246462339261995e-5
IDN,Indonesia,2019-04-28,2.8851713995450422e-5,2.0015475847646975e-5,2.1407351679245922e-5
IDN,Indonesia,2019-04-29,1.5058320359865415e-5,1.9661393312805434e-5,2.1070065277483803e-5
IDN,Indonesia,2019-04-30,2.240581883713676e-5,1.9476802694754464e-5,2.1209406340925388e-5
IDN,Indonesia,2019-05-01,1.960619231473125e-5,1.9399954231647022e-5,2.0880464317918868e-5
IDN,Indonesia,2019-05-02,2.1316880317480357e-5,1.9710679042693053e-5,2.0804020490831528e-5
IDN,Indonesia,2019-05-03,2.3449329118581907e-5,1.9771838374106467e-5,2.0872217197794085e-5
IDN,Indonesia,2019-05-04,1.820026498085363e-5,1.9593234343405074e-5,2.0702514800127466e-5
IDN,Indonesia,2019-05-05,1.680277456344445e-5,1.94115958858199e-5,2.057202319704362e-5
IDN,Indonesia,2019-05-06,1.8630373954164173e-5,1.9598426795586683e-5,2.0326117704065873e-5
IDN,Indonesia,2019-05-07,1.9422232474434324e-5,1.9711672738886948e-5,2.007533549745165e-5
IDN,Indonesia,2019-05-08,1.755982283000468e-5,1.9913352976619166e-5,1.980544099899773e-5
IDN,Indonesia,2019-05-09,1.8722306594002673e-5,1.9962275567192393e-5,1.980353210702423e-5
IDN,Indonesia,2019-05-10,1.892591105397995e-5,2.0064580960224548e-5,1.9666438247004422e-5
IDN,Indonesia,2019-05-11,1.8149280087934296e-5,1.9792944391576022e-5,1.9548117509430063e-5
IDN,Indonesia,2019-05-12,2.0254486914449332e-5,1.9178856742933086e-5,1.958167334890644e-5
IDN,Indonesia,2019-05-13,2.0741555455986226e-5,1.9584802106941716e-5,1.9623097709873573e-5
IDN,Indonesia,2019-05-14,2.7083647433704845e-5,1.9918932720982292e-5,1.9697867707868378e-5
IDN,Indonesia,2019-05-15,2.3089270402336798e-5,2.0167724012954118e-5,1.9783839122300572e-5
IDN,Indonesia,2019-05-16,2.5241231336520853e-5,2.0448034800028437e-5,2.0079356921360745e-5
IDN,Indonesia,2019-05-17,2.0135725352959537e-5,2.02113488167697e-5,1.999159359543808e-5
IDN,Indonesia,2019-05-18,2.021929123874517e-5,2.0355564978047664e-5,1.997439966072637e-5
IDN,Indonesia,2019-05-19,2.1712414827732564e-5,2.0706253568353958e-5,2.005892472708693e-5
IDN,Indonesia,2019-05-20,2.2081232066709512e-5,2.095274343353577e-5,2.0275585114561225e-5
IDN,Indonesia,2019-05-21,2.0383985343289103e-5,2.1021440067025396e-5,2.036655640295617e-5
IDN,Indonesia,2019-05-22,1.8618873690208424e-5,2.109708655703995e-5,2.0505219766829556e-5
IDN,Indonesia,2019-05-23,2.1283483463549694e-5,2.1280027762007594e-5,2.062115166459999e-5
IDN,Indonesia,2019-05-24,1.8920213506151915e-5,2.127962079430559e-5,2.067210087726507e-5
IDN,Indonesia,2019-05-25,2.200450481169705e-5,2.1554993988860073e-5,2.0673969190218047e-5
IDN,Indonesia,2019-05-26,1.926186880921914e-5,2.1484092695629346e-5,2.0331474719281214e-5
IDN,Indonesia,2019-05-27,2.178645956679295e-5,2.155872870354411e-5,2.0571765405242913e-5
IDN,Indonesia,2019-05-28,2.1187904026760974e-5,2.113760417447669e-5,2.0528268447729494e-5
IDN,Indonesia,2019-05-29,2.300062634526419e-5,2.1131272456114363e-5,2.064949823453424e-5
IDN,Indonesia,2019-05-30,1.99148151207739e-5,2.075081415498958e-5,2.059942447750901e-5
IDN,Indonesia,2019-05-31,2.039229802195047e-5,2.0769140774203218e-5,2.049024479548646e-5
IDN,Indonesia,2019-06-01,2.4689502857107e-5,2.1088441604086207e-5,2.0722003291066935e-5
IDN,Indonesia,2019-06-02,2.234345699769453e-5,2.1133516044797774e-5,2.0919884806575868e-5
IDN,Indonesia,2019-06-03,1.5045723235811008e-5,2.0630979699733598e-5,2.0791861566634684e-5
IDN,Indonesia,2019-06-04,2.002076703081402e-5,2.0605035534556807e-5,2.08132378007911e-5
IDN,Indonesia,2019-06-05,1.555993039823985e-5,2.0386539585130477e-5,2.0741813071085215e-5
IDN,Indonesia,2019-06-06,1.4978113446198593e-5,1.9936156012462542e-5,2.0608091887235068e-5
IDN,Indonesia,2019-06-07,1.8611581005291433e-5,1.9914110833829652e-5,2.059686581406762e-5
IDN,Indonesia,2019-06-08,2.0615999401152047e-5,1.981493187593358e-5,2.0684962932396825e-5
