country_iso3,country_name,date,country_no2_index_daily,country_no2_index_14dma,country_no2_index_28dma
JPN,Japan,2019-01-01,6.445654202083263e-5,6.445654202083263e-5,6.445654202083263e-5
JPN,Japan,2019-01-02,3.540267467825942e-5,4.992960834954602e-5,4.992960834954602e-5
JPN,Japan,2019-01-03,3.812647089200259e-5,4.599522919703155e-5,4.599522919703155e-5
JPN,Japan,2019-01-04,5.8651090181723205e-5,4.915919444320446e-5,4.915919444320446e-5
JPN,Japan,2019-01-05,5.8802657088076886e-5,5.1087886972178946e-5,5.1087886972178946e-5
JPN,Japan,2019-01-06,2.123165691608561e-5,4.6111848629496725e-5,4.6111848629496725e-5
JPN,Japan,2019-01-07,4.6465459872685224e-5,4.6162364521380795e-5,4.6162364521380795e-5
JPN,Japan,2019-01-08,1.0163193735100326e-4,5.30960611250836e-5,5.30960611250836e-5
JPN,Japan,2019-01-09,2.8321848676165993e-5,5.034337085298165e-5,5.034337085298165e-5
JPN,Japan,2019-01-10,5.442485512075941e-5,5.075151927975942e-5,5.075151927975942e-5
JPN,Japan,2019-01-11,4.4114064611919207e-5,5.014811430995577e-5,5.014811430995577e-5
JPN,Japan,2019-01-12,4.378593503398499e-5,4.961793270362487e-5,4.961793270362487e-5
JPN,Japan,2019-01-13,3.925496509024352e-5,4.882078134874938e-5,4.882078134874938e-5
JPN,Japan,2019-01-14,4.781213252287374e-5,4.874873500404398e-5,4.874873500404398e-5
JPN,Japan,2019-01-15,8.065717661248178e-5,4.990592318916177e-5,5.0875964444606497e-5
JPN,Japan,2019-01-16,4.277309783674996e-5,5.043238198619681e-5,5.0369535281615465e-5
JPN,Japan,2019-01-17,7.129229290265393e-5,5.280136927267191e-5,5.1600285729911845e-5
JPN,Japan,2019-01-18,4.105946038213392e-5,5.154482428698696e-5,5.101468432170196e-5
JPN,Japan,2019-01-19,7.210147098606495e-5,5.2494739565414676e-5,5.2124515198773696e-5
JPN,Japan,2019-01-20,5.265203565575772e-5,5.473905233253412e-5,5.2150891221622895e-5
JPN,Japan,2019-01-21,4.6870855786983355e-5,5.476800918355541e-5,5.189946096283054e-5
JPN,Japan,2019-01-22,3.928052462632229e-5,5.03143368460782e-5,5.132587294753471e-5
JPN,Japan,2019-01-23,8.614208978457661e-5,5.4444354068107525e-5,5.2839621505666966e-5
JPN,Japan,2019-01-24,3.48509837554699e-5,5.3046220399158274e-5,5.2090094932742085e-5
JPN,Japan,2019-01-25,8.086714240225772e-5,5.567144024132531e-5,5.324117683152271e-5
JPN,Japan,2019-01-26,2.737690195030432e-5,5.4499366449633836e-5,5.224639702839893e-5
JPN,Japan,2019-01-27,2.5592711944564278e-5,5.3523491224942466e-5,5.125922350677542e-5
JPN,Japan,2019-01-28,6.589166745020148e-5,5.4814886576894446e-5,5.178181079046921e-5
JPN,Japan,2019-01-29,3.3382444025346696e-5,5.1438119963527655e-5,5.0672021576344713e-5
JPN,Japan,2019-01-30,9.058807243457216e-5,5.485347529194352e-5,5.264292863907017e-5
JPN,Japan,2019-01-31,1.232277144900849e-4,5.856314826247431e-5,5.568225876757311e-5
JPN,Japan,2019-02-01,4.831754812580825e-5,5.908158310130819e-5,5.531320369414757e-5
JPN,Japan,2019-02-02,6.657190077419168e-5,5.86866138004601e-5,5.559067668293739e-5
JPN,Japan,2019-02-03,6.801407815999486e-5,5.978390255076275e-5,5.726147744164843e-5
JPN,Japan,2019-02-04,5.022494197295191e-5,6.002348013547479e-5,5.73957446595151e-5
JPN,Japan,2019-02-05,6.411155199885873e-5,6.179712494779882e-5,5.605573089693851e-5
JPN,Japan,2019-02-06,6.738917009488322e-5,6.045763068424929e-5,5.745099237617841e-5
JPN,Japan,2019-02-07,1.1057046368468172e-4,6.586616496490728e-5,5.945619268203278e-5
JPN,Japan,2019-02-08,3.742280649700895e-5,6.276299811453237e-5,5.9217219177928844e-5
JPN,Japan,2019-02-09,6.592346245483758e-5,6.551632386485617e-5,6.000784515724501e-5
JPN,Japan,2019-02-10,3.396215307754211e-5,6.611414108864031e-5,5.981881615679138e-5
JPN,Japan,2019-02-11,5.421557413727227e-5,6.528013442343107e-5,6.004751050016276e-5
JPN,Japan,2019-02-12,5.197078671351549e-5,6.66078731868717e-5,5.902299657519968e-5
JPN,Japan,2019-02-13,6.086085198330248e-5,6.44845002974953e-5,5.966898779471941e-5
JPN,Japan,2019-02-14,3.62620902891551e-5,5.827266999742888e-5,5.84179091299516e-5
JPN,Japan,2019-02-15,1.2258972762396123e-4,6.357782567586838e-5,6.132970438858829e-5
