country_iso3,country_name,date,country_no2_index_daily,country_no2_index_14dma,country_no2_index_28dma
MYS,Malaysia,2019-01-01,1.4385735896575382e-5,1.4385735896575382e-5,1.4385735896575382e-5
MYS,Malaysia,2019-01-02,2.6925383851036755e-5,2.0655559873806067e-5,2.0655559873806067e-5
MYS,Malaysia,2019-01-03,2.1146531386765282e-5,2.0819217044792473e-5,2.0819217044792473e-5
MYS,Malaysia,2019-01-04,2.5351157536673022e-5,2.195220216776261e-5,2.195220216776261e-5
MYS,Malaysia,2019-01-05,2.8067582360391102e-5,2.317527820628831e-5,2.317527820628831e-5
MYS,Malaysia,2019-01-06,2.1376586525843637e-5,2.287549625954753e-5,2.287549625954753e-5
MYS,Malaysia,2019-01-07,2.0761085686621677e-5,2.257343760627241e-5,2.257343760627241e-5
MYS,Malaysia,2019-01-08,1.9789633593389698e-5,2.222546210466207e-5,2.222546210466207e-5
MYS,Malaysia,2019-01-09,1.9977718218628155e-5,2.1975712783991636e-5,2.1975712783991636e-5
MYS,Malaysia,2019-01-10,1.788000059560788e-5,2.156614156515326e-5,2.156614156515326e-5
MYS,Malaysia,2019-01-11,1.7351724222396955e-5,2.118301271581178e-5,2.118301271581178e-5
MYS,Malaysia,2019-01-12,1.7107212960147727e-5,2.0843362736173106e-5,2.0843362736173106e-5
MYS,Malaysia,2019-01-13,1.9305288850530038e-5,2.072504936035441e-5,2.072504936035441e-5
MYS,Malaysia,2019-01-14,1.905611229829089e-5,2.0605839570207013e-5,2.0605839570207013e-5
MYS,Malaysia,2019-01-15,2.7120593149761995e-5,2.1515472231148916e-5,2.1040156475510678e-5
MYS,Malaysia,2019-01-16,2.18742010889747e-5,2.1154673462430196e-5,2.109228426385218e-5
MYS,Malaysia,2019-01-17,1.3758006936896862e-5,2.0626921716011023e-5,2.0660856185795986e-5
MYS,Malaysia,2019-01-18,1.709696458792937e-5,2.0037336505386478e-5,2.046286220813673e-5
MYS,Malaysia,2019-01-19,1.5949484303484343e-5,1.917175807275028e-5,2.022531600262871e-5
MYS,Malaysia,2019-01-20,1.7417882434859684e-5,1.8888993494822854e-5,2.0084944324240257e-5
MYS,Malaysia,2019-01-21,1.512866056798477e-5,1.8486677414920218e-5,1.9848930812037616e-5
MYS,Malaysia,2019-01-22,3.5610749685158305e-5,1.9616757135760835e-5,2.056537712445219e-5
MYS,Malaysia,2019-01-23,2.342981092258803e-5,1.986333518604368e-5,2.068991772437114e-5
