country_iso3,country_name,date,country_no2_index_daily,country_no2_index_14dma,country_no2_index_28dma
PHL,Philippines,2019-01-01,8.025677192344505e-6,8.025677192344505e-6,8.025677192344505e-6
PHL,Philippines,2019-01-02,1.2700578147111666e-5,1.0363127669728085e-5,1.0363127669728085e-5
PHL,Philippines,2019-01-03,1.1445401556421679e-5,1.0723885631959283e-5,1.0723885631959283e-5
PHL,Philippines,2019-01-04,1.3716255970898983e-5,1.1471978216694207e-5,1.1471978216694207e-5
PHL,Philippines,2019-01-05,1.2051302987645061e-5,1.158784317088438e-5,1.158784317088438e-5
PHL,Philippines,2019-01-06,1.3172827639864712e-5,1.1852007249047768e-5,1.1852007249047768e-5
PHL,Philippines,2019-01-07,1.3912791707422785e-5,1.2146405028815627e-5,1.2146405028815627e-5
PHL,Philippines,2019-01-08,1.2993448906180875e-5,1.2252285513486284e-5,1.2252285513486284e-5
PHL,Philippines,2019-01-09,1.1308223022549653e-5,1.2147389681159991e-5,1.2147389681159991e-5
PHL,Philippines,2019-01-10,1.1134006870729572e-5,1.2046051400116949e-5,1.2046051400116949e-5
PHL,Philippines,2019-01-11,1.125377362878572e-5,1.1974026148177747e-5,1.1974026148177747e-5
PHL,Philippines,2019-01-12,1.2716936356701878e-5,1.2035935332221425e-5,1.2035935332221425e-5
PHL,Philippines,2019-01-13,8.130057787222768e-6,1.1735483213375373e-5,1.1735483213375373e-5
PHL,Philippines,2019-01-14,1.4262699613757118e-5,1.1915998670545498e-5,1.1915998670545498e-5
PHL,Philippines,2019-01-15,1.4212854498308924e-5,1.2357939906685814e-5,1.2069122392396393e-5
PHL,Philippines,2019-01-16,1.4557447812629819e-5,1.2490573454222826e-5,1.2224642731160983e-5
PHL,Philippines,2019-01-17,1.9957379343696763e-5,1.3098571867599616e-5,1.267950959072191e-5
PHL,Philippines,2019-01-18,1.7560434785515857e-5,1.337315606864368e-5,1.2950672101543797e-5
PHL,Philippines,2019-01-19,1.481528308112312e-5,1.3570583218177825e-5,1.3048809521521656e-5
PHL,Philippines,2019-01-20,1.3853811558780357e-5,1.36192249266718e-5,1.3089059623384591e-5
PHL,Philippines,2019-01-21,1.1303345391027099e-5,1.3432835904072109e-5,1.3004025612319948e-5
PHL,Philippines,2019-01-22,1.9564759582272864e-5,1.390221523807868e-5,1.3302240792772354e-5
PHL,Philippines,2019-01-23,1.675860252574879e-5,1.429152805973576e-5,1.3452517389858285e-5
PHL,Philippines,2019-01-24,1.551287070196042e-5,1.4604304047680822e-5,1.3538365444529208e-5
PHL,Philippines,2019-01-25,1.3154327763794463e-5,1.474005791446716e-5,1.3523003937299818e-5
PHL,Philippines,2019-01-26,1.2139850017787533e-5,1.4698837461687565e-5,1.346980570962627e-5
PHL,Philippines,2019-01-27,1.3988455958951797e-5,1.5117294473953923e-5,1.3489014978119806e-5
PHL,Philippines,2019-01-28,1.2974221918670379e-5,1.50252603528763e-5,1.3470629511710898e-5
PHL,Philippines,2019-01-29,1.1955295068338945e-5,1.4864006107878443e-5,1.3610973007282129e-5
PHL,Philippines,2019-01-30,1.213889773857435e-5,1.4691252531160195e-5,1.359091299269151e-5
PHL,Philippines,2019-01-31,1.0974058129856201e-5,1.4049586730171584e-5,1.35740792988856e-5
PHL,Philippines,2019-02-01,1.1825519132734846e-5,1.3639949897830083e-5,1.3506552983236881e-5
PHL,Philippines,2019-02-02,1.7442384513817098e-5,1.3827600000165367e-5,1.3699091609171597e-5
PHL,Philippines,2019-02-03,1.3222874375760806e-5,1.3782533058521114e-5,1.3700878992596456e-5
PHL,Philippines,2019-02-04,1.2827135466905464e-5,1.389137520679814e-5,1.3662105555435124e-5
PHL,Philippines,2019-02-05,1.3312770972337239e-5,1.3444804591802738e-5,1.3673509914940709e-5
PHL,Philippines,2019-02-06,1.4752924211436704e-5,1.330154185506616e-5,1.3796534957400961e-5
PHL,Philippines,2019-02-07,1.4164358808825501e-5,1.3205219576985095e-5,1.3904761812332958e-5
PHL,Philippines,2019-02-08,1.816448905156836e-5,1.3563088240397516e-5,1.4151573077432338e-5
PHL,Philippines,2019-02-09,1.5659714809731107e-5,1.381450715410777e-5,1.4256672307897668e-5
PHL,Philippines,2019-02-10,1.2338628408820497e-5,1.3696662329098392e-5,1.4406978401526158e-5
PHL,Philippines,2019-02-11,1.2569877315903562e-5,1.3667780571757905e-5,1.4346520462317102e-5
PHL,Philippines,2019-02-12,1.0632803492097676e-5,1.3573316887740673e-5,1.4218661497809557e-5
PHL,Philippines,2019-02-13,1.0598103400686658e-5,1.3463260149320122e-5,1.407725634024016e-5
PHL,Philippines,2019-02-14,1.342930795483065e-5,1.3638635136818297e-5,1.384411093349494e-5
PHL,Philippines,2019-02-15,1.7027246085353502e-5,1.4010187062005344e-5,1.3825068479917714e-5
PHL,Philippines,2019-02-16,1.2971098888388102e-5,1.3690809517331845e-5,1.3759204758748607e-5
PHL,Philippines,2019-02-17,1.1087104405445465e-5,1.3538254519452177e-5,1.3660393788986646e-5
PHL,Philippines,2019-02-18,1.3194095457926216e-5,1.3564465947382231e-5,1.3727920577090185e-5
PHL,Philippines,2019-02-19,1.456176027590052e-5,1.3653679469065323e-5,1.354924203043403e-5
PHL,Philippines,2019-02-20,1.2803374161170562e-5,1.3514425894046312e-5,1.3407983874556237e-5
PHL,Philippines,2019-02-21,1.6500440653667758e-5,1.3681288882963617e-5,1.3443254229974356e-5
PHL,Philippines,2019-02-22,1.5466004891898475e-5,1.3488540014415768e-5,1.3525814127406642e-5
PHL,Philippines,2019-02-23,1.9185625409471065e-5,1.374039077154005e-5,1.377744896282391e-5
PHL,Philippines,2019-02-24,1.873151762950581e-5,1.4197025715874717e-5,1.3946844022486555e-5
PHL,Philippines,2019-02-25,1.9429489072734334e-5,1.468699798421977e-5,1.4177389277988838e-5
PHL,Philippines,2019-02-26,1.80643386154369e-5,1.5217821921601145e-5,1.4395569404670909e-5
PHL,Philippines,2019-02-27,1.7492730071495223e-5,1.5710295255230326e-5,1.4586777702275226e-5
PHL,Philippines,2019-02-28,1.669490579887634e-5,1.5943552244090734e-5,1.4791093690454517e-5
PHL,Philippines,2019-03-01,1.7961086259561664e-5,1.601025511367703e-5,1.5010221087841187e-5
PHL,Philippines,2019-03-02,1.7593423171097866e-5,1.6340421133870587e-5,1.5015615325601215e-5
PHL,Philippines,2019-03-03,1.8592039003492236e-5,1.6876487890873927e-5,1.5207371205163052e-5
PHL,Philippines,2019-03-04,2.0716518105736786e-5,1.741380379428897e-5,1.54891348708356e-5
PHL,Philippines,2019-03-05,1.5502326663450066e-5,1.7480987107685364e-5,1.5567333288375345e-5
PHL,Philippines,2019-03-06,1.553502530142977e-5,1.7676105046275306e-5,1.559526547016081e-5
PHL,Philippines,2019-03-07,1.517845963490369e-5,1.7581677830649302e-5,1.563148335680646e-5
PHL,Philippines,2019-03-08,1.5108027667488463e-5,1.755610802890573e-5,1.5522324021660748e-5
PHL,Philippines,2019-03-09,1.6705735940474092e-5,1.737897306683452e-5,1.5559681919187284e-5
PHL,Philippines,2019-03-10,1.68369413367607e-5,1.7243646188781294e-5,1.5720335952328004e-5
PHL,Philippines,2019-03-11,2.01715257881685e-5,1.729664881131231e-5,1.599182339776604e-5
PHL,Philippines,2019-03-12,2.6135015075463118e-5,1.787312570131418e-5,1.654547381145766e-5
PHL,Philippines,2019-03-13,1.8005577785510962e-5,1.790975768088673e-5,1.681002646805853e-5
PHL,Philippines,2019-03-14,2.2959943713182373e-5,1.835726038905145e-5,1.715040631657109e-5
PHL,Philippines,2019-03-15,2.097808486692579e-5,1.8572760289577458e-5,1.7291507701627244e-5
PHL,Philippines,2019-03-16,1.6490307852220647e-5,1.8493966338229085e-5,1.7417193736049836e-5
PHL,Philippines,2019-03-17,1.3452817847826789e-5,1.812687911282441e-5,1.7501683501849168e-5
PHL,Philippines,2019-03-18,1.5110715041785962e-5,1.7726464608256496e-5,1.757013420127273e-5
PHL,Philippines,2019-03-19,1.5239126229458998e-5,1.7707664577257133e-5,1.7594325842471248e-5
PHL,Philippines,2019-03-20,1.1848058222497645e-5,1.744430978590484e-5,1.7560207416090072e-5
PHL,Philippines,2019-03-21,1.3009963155221369e-5,1.7289417180213243e-5,1.7435547505431273e-5
PHL,Philippines,2019-03-22,1.586127216090607e-5,1.73432203583145e-5,1.7449664193610117e-5
PHL,Philippines,2019-03-23,1.7377000105062643e-5,1.7391167798642253e-5,1.7385070432738388e-5
PHL,Philippines,2019-03-24,1.2942410815512761e-5,1.7112987047124544e-5,1.717831661795292e-5
PHL,Philippines,2019-03-25,1.2869236372618007e-5,1.6591394946013794e-5,1.694402187866305e-5
PHL,Philippines,2019-03-26,1.4954715915054772e-5,1.579280214884177e-5,1.6832963925077975e-5
PHL,Philippines,2019-03-27,1.8528811403689507e-5,1.5830175978711667e-5,1.68699668297992e-5
PHL,Philippines,2019-03-28,1.692101973171057e-5,1.5398824265749396e-5,1.687804232740042e-5
PHL,Philippines,2019-03-29,1.8930679346334317e-5,1.5252581014278575e-5,1.6912670651928018e-5
PHL,Philippines,2019-03-30,1.817917750692925e-5,1.5373214561043476e-5,1.693359044963628e-5
PHL,Philippines,2019-03-31,1.3342858535153238e-5,1.5365360324423937e-5,1.6746119718624173e-5
PHL,Philippines,2019-04-01,1.274086127897989e-5,1.5196085055652075e-5,1.6461274831954284e-5
PHL,Philippines,2019-04-02,1.2261542762661682e-5,1.4983400522309409e-5,1.634553254978327e-5
PHL,Philippines,2019-04-03,1.5001289038366787e-5,1.520863129487149e-5,1.6326470540388164e-5
PHL,Philippines,2019-04-04,1.3210791571745928e-5,1.5222976181766102e-5,1.6256196680989673e-5
PHL,Philippines,2019-04-05,1.2497891929595476e-5,1.4982734736672489e-5,1.6162977547493496e-5
PHL,Philippines,2019-04-06,1.4295017626417513e-5,1.4762593131054978e-5,1.6076880464848616e-5
PHL,Philippines,2019-04-07,1.3752540132292572e-5,1.4820459510824965e-5,1.5966723278974754e-5
PHL,Philippines,2019-04-08,1.6334077755806042e-5,1.5067948181052682e-5,1.5829671563533238e-5
PHL,Philippines,2019-04-09,8.428551251320405e-6,1.4601793562214513e-5,1.5197297855528142e-5
PHL,Philippines,2019-04-10,1.3889321141817351e-5,1.4270401400652216e-5,1.5050288689681942e-5
PHL,Philippines,2019-04-11,1.3223258509681716e-5,1.4006275599078726e-5,1.470254993241406e-5
PHL,Philippines,2019-04-12,1.1548044966185035e-5,1.3478944571925205e-5,1.436576279310189e-5
PHL,Philippines,2019-04-13,1.5086994430034455e-5,1.3258074352147007e-5,1.431564445659524e-5
PHL,Philippines,2019-04-14,1.3406882607135408e-5,1.3262647500145733e-5,1.4314003912284835e-5
PHL,Philippines,2019-04-15,,1.3302784901773875e-5,1.4284496092673683e-5
PHL,Philippines,2019-04-16,1.52015981394246e-5,1.3528943007678714e-5,1.4283106163413149e-5
PHL,Philippines,2019-04-17,2.004104196760425e-5,1.391661630992775e-5,1.4586550005824504e-5
PHL,Philippines,2019-04-18,1.861910716958381e-5,1.433264058668451e-5,1.479429608043052e-5
PHL,Philippines,2019-04-19,1.579276669271762e-5,1.458609249154006e-5,1.4791758840867985e-5
PHL,Philippines,2019-04-20,1.6807278939966526e-5,1.4779343361813061e-5,1.4770658056975537e-5
PHL,Philippines,2019-04-21,1.7159005976752008e-5,1.5041379196002249e-5,1.4926828248132546e-5
PHL,Philippines,2019-04-22,1.5934933745138688e-5,1.5010675810566299e-5,1.5040372595262942e-5
PHL,Philippines,2019-04-23,1.8948063494535268e-5,1.5819869060044366e-5,1.5188274357465922e-5
PHL,Philippines,2019-04-24,1.6268357394718323e-5,1.6002871848729056e-5,1.5104553838615138e-5
PHL,Philippines,2019-04-25,2.0611156905960186e-5,1.657117172536586e-5,1.524122558580957e-5
PHL,Philippines,2019-04-26,1.7696619837223616e-5,1.704413902313806e-5,1.5195519678064729e-5
PHL,Philippines,2019-04-27,1.3363947886823012e-5,1.6911596981352564e-5,1.5017177840283016e-5
PHL,Philippines,2019-04-28,1.4257282785872766e-5,1.6977012379716976e-5,1.505104540512448e-5
PHL,Philippines,2019-04-29,,1.6977012379716976e-5,1.5139898640745425e-5
PHL,Philippines,2019-04-30,1.8139571240650486e-5,1.7203010310580505e-5,1.536597665912961e-5
PHL,Philippines,2019-05-01,2.129242015116692e-5,1.7299270170854555e-5,1.5607943240391153e-5
PHL,Philippines,2019-05-02,1.972220416237268e-5,1.738412378568447e-5,1.585838218618449e-5
PHL,Philippines,2019-05-03,2.0376895665081716e-5,1.7736749091250937e-5,1.61614207913955e-5
PHL,Philippines,2019-05-04,2.4016034574219435e-5,1.8291268755424238e-5,1.653530605861865e-5
PHL,Philippines,2019-05-05,2.183857442119019e-5,1.865123555884256e-5,1.6846307377422405e-5
PHL,Philippines,2019-05-06,1.5080963288349916e-5,1.8585545523704964e-5,1.679811066713563e-5
PHL,Philippines,2019-05-07,2.6779269017609854e-5,1.9187945948556852e-5,1.7503907504300607e-5
PHL,Philippines,2019-05-08,2.188418219605509e-5,1.9619932471736605e-5,1.781140216023283e-5
PHL,Philippines,2019-05-09,2.1407060211281043e-5,1.9681155802915132e-5,1.8126163764140495e-5
PHL,Philippines,2019-05-10,1.9444587912405413e-5,1.9815614885621426e-5,1.8429876954379742e-5
PHL,Philippines,2019-05-11,1.7825910780227688e-5,2.0158842800498708e-5,1.8535219890925636e-5
PHL,Philippines,2019-05-12,1.762776609472549e-5,2.041811074733353e-5,1.8697561563525255e-5
PHL,Philippines,2019-05-13,1.5038342236291568e-5,2.0033841567973393e-5,1.856203492177586e-5
PHL,Philippines,2019-05-14,2.0625531857468734e-5,2.021141018346041e-5,1.8762921355777494e-5
PHL,Philippines,2019-05-15,2.259624439659372e-5,2.030454048670518e-5,1.8857558482777103e-5
PHL,Philippines,2019-05-16,2.462796238283068e-5,2.065495178816647e-5,1.908010867586032e-5
PHL,Philippines,2019-05-17,2.7242513299966155e-5,2.114535304780107e-5,1.9504173365017673e-5
PHL,Philippines,2019-05-18,2.0753577363820276e-5,2.0912320389915416e-5,1.9650332565901145e-5
PHL,Philippines,2019-05-19,1.9914014151357992e-5,2.0774851799213115e-5,1.9752369905701366e-5
PHL,Philippines,2019-05-20,2.206063311829533e-5,2.1273399644209217e-5,1.9979247660262723e-5
PHL,Philippines,2019-05-21,2.8435009954374237e-5,2.13916668539781e-5,2.033061604766417e-5
PHL,Philippines,2019-05-22,2.933442813574903e-5,2.1923827278241953e-5,2.0814544593628268e-5
PHL,Philippines,2019-05-23,2.7669258025684964e-5,2.237112712212795e-5,2.1075955746210666e-5
PHL,Philippines,2019-05-24,2.2382253513989407e-5,2.2580960379383946e-5,2.124949773423903e-5
PHL,Philippines,2019-05-25,2.8213657022861934e-5,2.3322942253857822e-5,2.179948696149973e-5
PHL,Philippines,2019-05-26,2.8578750718287464e-5,2.4105155441255106e-05,2.232991169973731e-5
PHL,Philippines,2019-05-27,1.7072062200734176e-5,2.4250421153001006e-5,2.21421313604872e-5
PHL,Philippines,2019-05-28,2.1805760561871978e-5,2.4334723203315526e-5,2.2273066693387966e-5
PHL,Philippines,2019-05-29,2.5597510671338884e-5,2.4549099365797323e-5,2.2426819926251252e-5
PHL,Philippines,2019-05-30,2.1365079848683197e-5,2.431603632764393e-5,2.24854940579052e-5
PHL,Philippines,2019-05-31,1.6069136981572767e-5,2.351793801918726e-5,2.2331645533494165e-5
PHL,Philippines,2019-06-01,1.753293169969868e-5,2.328789190032143e-5,2.2100106145118423e-5
PHL,Philippines,2019-06-02,1.877723827288555e-5,2.3206693623287687e-5,2.19907727112504e-5
PHL,Philippines,2019-06-03,1.6645875535178622e-5,2.2819925224493635e-5,2.2046662434351427e-5
PHL,Philippines,2019-06-04,1.6022636218776467e-5,2.1933327100522366e-5,2.1662496977250233e-5
PHL,Philippines,2019-06-05,2.2819831801296447e-5,2.146799879091861e-5,2.169591303458028e-5
PHL,Philippines,2019-06-06,1.8575212616925433e-5,2.0818424118864357e-5,2.1594775620496154e-5
PHL,Philippines,2019-06-07,1.7019965675013492e-5,2.0435403558937505e-5,2.1508181969160726e-5
PHL,Philippines,2019-06-08,2.0358295934443536e-5,1.987430633833619e-5,2.159862429609701e-5
PHL,Philippines,2019-06-09,2.089024295195745e-5,1.9325127212169762e-5,2.1715141326712436e-5
PHL,Philippines,2019-06-10,1.9410861302588193e-5,1.949218429087362e-5,2.1871302721937315e-5
PHL,Philippines,2019-06-11,1.68376604668639e-5,1.9137319998373045e-5,2.1736021600844286e-5
PHL,Philippines,2019-06-12,1.724662250925469e-5,1.85408279867956e-5,2.1544963676296462e-5
PHL,Philippines,2019-06-13,1.7015262686775736e-5,1.823012676094507e-5,2.1273081544294498e-5
PHL,Philippines,2019-06-14,1.4314213513472435e-5,1.8104775084652186e-5,2.0811356551919724e-5
PHL,Philippines,2019-06-15,1.2178296507145362e-5,1.772230114232695e-5,2.050509652132419e-5
PHL,Philippines,2019-06-16,1.5073466561858893e-5,1.745774602011076e-5,2.0332219821699222e-5
PHL,Philippines,2019-06-17,1.6353080781011225e-5,1.7436832109098806e-5,2.012837866679622e-5
PHL,Philippines,2019-06-18,1.6611374426552115e-5,1.7478884838225637e-5,1.9706105969374e-5
PHL,Philippines,2019-06-19,1.2663869259318702e-5,1.6753458942370083e-5,1.9110728866644345e-5
PHL,Philippines,2019-06-20,1.8807064958638076e-5,1.6770019823920985e-5,1.8794221971392672e-5
PHL,Philippines,2019-06-21,1.9888460871426414e-5,1.697491233795048e-5,1.8705157948443995e-5
PHL,Philippines,2019-06-22,2.313704615911159e-5,1.717339449685534e-5,1.8523850417595768e-5
PHL,Philippines,2019-06-23,1.8479199448064208e-5,1.700117710372011e-5,1.8163152157944937e-5
PHL,Philippines,2019-06-24,2.2508268815696725e-5,1.7222420497513578e-5,1.83573023941936e-5
PHL,Philippines,2019-06-25,3.05370716345899e-5,1.8200949866636862e-5,1.8669134932504952e-05
PHL,Philippines,2019-06-26,1.4805605166784788e-5,1.802659148503187e-5,1.8283709735913734e-5
PHL,Philippines,2019-06-27,1.5986852681454662e-5,1.7953133627508936e-5,1.8091630194227003e-5
PHL,Philippines,2019-06-28,1.4420982372877568e-5,1.7960759974609303e-5,1.8032767529630746e-5
PHL,Philippines,2019-06-29,1.0494268134438979e-05,1.7840472233701703e-5,1.7781386688014326e-5
PHL,Philippines,2019-06-30,1.4605334841090737e-5,1.7807034253646835e-5,1.7632390136878796e-5
PHL,Philippines,2019-07-01,2.347897019034611e-5,1.831602635431361e-5,1.7876429231706208e-5
PHL,Philippines,2019-07-02,1.6689814816099835e-5,1.8321629239281305e-5,1.7900257038753473e-5
PHL,Philippines,2019-07-03,1.6032504382546158e-5,1.8562246033797552e-5,1.7657852488083818e-5
PHL,Philippines,2019-07-04,2.381381855025913e-5,1.8919871290341914e-5,1.784494555713145e-5
PHL,Philippines,2019-07-05,1.819131001946916e-5,1.8798646229487825e-5,1.7886779283719153e-5
PHL,Philippines,2019-07-06,1.8159849919377668e-5,1.8443132212363974e-5,1.7808263354609658e-5
PHL,Philippines,2019-07-07,1.4963211271775067e-5,1.819199019977189e-5,1.7596583651746002e-5
PHL,Philippines,2019-07-08,1.3813592293375087e-5,1.7570941876748917e-5,1.7396681187131245e-5
PHL,Philippines,2019-07-09,1.4663720185626558e-5,1.6437131058965823e-5,1.731904046280134e-5
PHL,Philippines,2019-07-10,1.3019771051858312e-5,1.6309571479328218e-5,1.716808148218004e-5
PHL,Philippines,2019-07-11,1.9993734827179506e-5,1.659577734687999e-5,1.7274455487194465e-5
PHL,Philippines,2019-07-12,2.089514987153666e-5,1.7058217882498497e-5,1.75094889285539e-5
PHL,Philippines,2019-07-13,2.6983926498138984e-5,1.8236050622762783e-5,1.8038261428232245e-5
