country_iso3,country_name,date,country_no2_index_daily,country_no2_index_14dma,country_no2_index_28dma
SGP,Singapore,2019-01-01,6.203776699950613e-5,6.203776699950613e-5,6.203776699950613e-5
SGP,Singapore,2019-01-02,6.454872176012334e-5,6.329324437981474e-5,6.329324437981474e-5
SGP,Singapore,2019-01-03,4.67784983327104e-5,5.778832903077996e-5,5.778832903077996e-5
SGP,Singapore,2019-01-04,5.373160282841935e-5,5.6774147480189806e-5,5.6774147480189806e-5
SGP,Singapore,2019-01-05,1.862597495206641e-4,8.267126788828467e-5,8.267126788828467e-5
SGP,Singapore,2019-01-06,4.0765597155828414e-5,7.568698943287529e-5,7.568698943287529e-5
SGP,Singapore,2019-01-07,4.044212838581527e-5,7.065200928329528e-5,7.065200928329528e-5
SGP,Singapore,2019-01-08,7.790140105612407e-5,7.155818325489888e-5,7.155818325489888e-5
SGP,Singapore,2019-01-09,3.4499806152788014e-5,6.744058579910878e-5,6.744058579910878e-5
SGP,Singapore,2019-01-10,5.487424875051754e-5,6.618395209424966e-5,6.618395209424966e-5
SGP,Singapore,2019-01-11,6.126326435230074e-5,6.573661684498158e-5,6.573661684498158e-5
SGP,Singapore,2019-01-12,5.416580337459067e-5,6.477238238911567e-5,6.477238238911567e-5
SGP,Singapore,2019-01-13,4.8345710234166806e-5,6.350879222335037e-5,6.350879222335037e-5
SGP,Singapore,2019-01-14,3.4276496430370914e-5,6.142077109528042e-5,6.142077109528042e-5
SGP,Singapore,2019-01-15,8.778440302236514e-5,6.325981652548462e-5,6.317834655708606e-5
SGP,Singapore,2019-01-16,1.1490583779681803e-5,5.946994952688166e-5,5.9947861383498296e-5
SGP,Singapore,2019-01-17,2.3712056847418556e-5,5.7822346563646524e-5,5.781634346961125e-5
SGP,Singapore,2019-01-18,,5.8137019158664e-5,5.781634346961125e-5
SGP,Singapore,2019-01-19,5.5277947467402555e-5,4.806149592379773e-5,5.767532146948855e-5
SGP,Singapore,2019-01-20,2.679454509030174e-5,4.698679961106491e-5,5.605001744953134e-5
SGP,Singapore,2019-01-21,3.2643731461384476e-5,4.638692292457023e-5,5.4879703150124e-5
SGP,Singapore,2019-01-22,,4.3760716413607414e-5,5.4879703150124e-5
SGP,Singapore,2019-01-23,2.910306016388317e-5,4.3310987581198674e-5,5.365224396030301e-5
SGP,Singapore,2019-01-24,3.850001788426501e-5,4.19464683423443e-5,5.296350641139219e-5
SGP,Singapore,2019-01-25,,4.019039597780281e-5,5.296350641139219e-5
SGP,Singapore,2019-01-26,4.170985994278453e-5,3.905803748400225e-5,5.247421743449621e-5
SGP,Singapore,2019-01-27,2.3369735521959635e-5,3.678749432834705e-5,5.1261530688140516e-5
SGP,Singapore,2019-01-28,,3.703859411814466e-5,5.1261530688140516e-5
SGP,Singapore,2019-01-29,4.0963919721954365e-5,3.235654578810358e-5,5.038345371824253e-5
SGP,Singapore,2019-01-30,5.607120840308337e-5,3.681460825044374e-5,5.0030223995032524e-5
SGP,Singapore,2019-01-31,6.716142694012494e-5,4.115954525971438e-5,5.0879512687008135e-5
SGP,Singapore,2019-02-01,4.14310331864286e-5,4.118422598032476e-5,5.0366988951925185e-5
SGP,Singapore,2019-02-02,3.307849855692287e-5,3.916609426119025e-5,4.398443682843596e-5
SGP,Singapore,2019-02-03,2.782315835287116e-5,3.925960455778747e-5,4.3445168544979414e-5
SGP,Singapore,2019-02-04,5.03370557092091e-5,4.086808858031698e-5,4.385745718345416e-5
SGP,Singapore,2019-02-05,4.293916845951066e-5,4.104067857024978e-5,4.24006974919286e-5
SGP,Singapore,2019-02-06,5.416067675799818e-5,4.3128813286426036e-5,4.321990043381236e-5
SGP,Singapore,2019-02-07,6.179933029169235e-5,4.5070422653711644e-5,4.350844549802797e-5
SGP,Singapore,2019-02-08,5.583190816721001e-5,4.589822923167306e-5,4.3282138990315856e-5
SGP,Singapore,2019-02-09,7.605541542205913e-5,4.85401950377711e-5,4.419420615896038e-5
SGP,Singapore,2019-02-10,5.509074835492612e-5,5.0980272947999295e-5,4.447524941399201e-5
SGP,Singapore,2019-02-11,6.3567198884229e-5,5.187933908630142e-5,4.569569534956944e-5
SGP,Singapore,2019-02-12,5.767605766925993e-5,5.307306322539467e-5,4.4441180959856715e-5
