country_iso3,country_name,date,country_no2_index_daily,country_no2_index_14dma,country_no2_index_28dma
KOR,South Korea,2019-01-01,7.122233903592919e-5,7.122233903592919e-5,7.122233903592919e-5
KOR,South Korea,2019-01-02,1.2691990045972444e-4,9.907111974782681e-5,9.907111974782681e-5
KOR,South Korea,2019-01-03,1.6386335222425883e-4,1.2066853057330415e-4,1.2066853057330415e-4
KOR,South Korea,2019-01-04,1.7063950062533588e-4,1.3316127308631208e-4,1.3316127308631208e-4
KOR,South Korea,2019-01-05,1.1058534944379925e-4,1.2864608835780951e-4,1.2864608835780951e-4
KOR,South Korea,2019-01-06,1.2564853108951773e-4,1.281464954797609e-4,1.281464954797609e-4
KOR,South Korea,2019-01-07,1.749881074808502e-4,1.3483815433705935e-4,1.3483815433705935e-4
KOR,South Korea,2019-01-08,1.5408390875083897e-4,1.3724387363878181e-4,1.3724387363878181e-4
KOR,South Korea,2019-01-09,3.787579626077786e-4,1.640787724131148e-4,1.640787724131148e-4
KOR,South Korea,2019-01-10,1.3772439020252414e-4,1.6144333419205572e-4,1.6144333419205572e-4
KOR,South Korea,2019-01-11,1.5602129358029967e-4,1.609504214091688e-4,1.609504214091688e-4
KOR,South Korea,2019-01-12,1.3171609568240803e-4,1.5851422759860542e-4,1.5851422759860542e-4
KOR,South Korea,2019-01-13,8.871550355494794e-5,1.5314509497986253e-4,1.5314509497986253e-4
KOR,South Korea,2019-01-14,1.912046833977673e-4,1.5586363700971286e-4,1.5586363700971286e-4
KOR,South Korea,2019-01-15,1.3833230798461938e-4,1.606572062203336e-4,1.546948817413733e-4
KOR,South Korea,2019-01-16,1.0765281052465208e-4,1.5928098551068557e-4,1.5175475229032821e-4
KOR,South Korea,2019-01-17,1.2289450301501207e-4,1.5635463913859653e-4,1.500570905682508e-4
KOR,South Korea,2019-01-18,1.788733639495816e-4,1.569427722331855e-4,1.516579946449914e-4
KOR,South Korea,2019-01-19,1.473786432678083e-4,1.5957086464918614e-4,1.5143276562513966e-4
KOR,South Korea,2019-01-20,5.880114680650116e-5,1.5479605148611354e-4,1.4680118468420774e-4
KOR,South Korea,2019-01-21,7.644759319856519e-5,1.4775744332309318e-4,1.434510136610819e-4
KOR,South Korea,2019-01-22,1.5269545280490227e-4,1.476582678983834e-4,1.4387121544034648e-4
KOR,South Korea,2019-01-23,1.7886831037432482e-4,1.3338043559599385e-4,1.4539282826356293e-4
KOR,South Korea,2019-01-24,1.6672666346873716e-4,1.354520265435805e-4,1.462817380637785e-4
KOR,South Korea,2019-01-25,1.1633356741116165e-4,1.3261718896007065e-4,1.4508381123767383e-4
KOR,South Korea,2019-01-26,1.1351570487092422e-4,1.3131716104496465e-4,1.4386965330049115e-4
KOR,South Korea,2019-01-27,9.296262157127917e-5,1.3162052661755974e-4,1.4198420768089072e-4
KOR,South Korea,2019-01-28,1.1780981164333372e-4,1.2637803577795733e-4,1.411208363938351e-4
KOR,South Korea,2019-01-29,1.8047537740714323e-4,1.2938825502242332e-4,1.4502273062137847e-4
KOR,South Korea,2019-01-30,1.9148513608306626e-4,1.3537627827659576e-4,1.4732863189364067e-4
KOR,South Korea,2019-01-31,9.896385781469271e-5,1.3366694647657296e-4,1.4501079280758474e-4
KOR,South Korea,2019-02-01,1.061652063190059e-4,1.2847350664581755e-4,1.4270813943950152e-4
KOR,South Korea,2019-02-02,8.781140791414792e-5,1.242187041205561e-4,1.4189478438487112e-4
KOR,South Korea,2019-02-03,5.781809437265642e-5,1.2414848608956718e-4,1.3947226878784037e-4
KOR,South Korea,2019-02-04,6.549452401564e-5,1.2336612400507254e-4,1.3556178366408284e-4
KOR,South Korea,2019-02-05,8.409479929992845e-5,1.1846607732614583e-4,1.330621726122646e-4
KOR,South Korea,2019-02-06,6.899812536203578e-5,1.1061820696812518e-4,1.2199932128205952e-4
KOR,South Korea,2019-02-07,8.873265211692742e-5,1.0504720615728163e-4,1.2024961635043107e-4
KOR,South Korea,2019-02-08,1.4307087162298776e-4,1.069570136009835e-4,1.1978710128052707e-4
KOR,South Korea,2019-02-09,1.2011157266045946e-4,1.0742814701452173e-4,1.1937265402974319e-4
KOR,South Korea,2019-02-10,8.351660432405575e-5,1.0675343149686291e-4,1.1918697905721133e-4
KOR,South Korea,2019-02-11,1.1119282665174833e-4,1.0628078971174967e-4,1.163294127448535e-4
KOR,South Korea,2019-02-12,1.413299626102239e-4,1.0348468865482686e-4,1.1643647183862509e-4
KOR,South Korea,2019-02-13,1.359518462367105e-4,9.951802509437287e-5,1.1744715168548433e-4
KOR,South Korea,2019-02-14,1.924893976085864e-4,1.0619842079393671e-4,1.1993268363525484e-4
KOR,South Korea,2019-02-15,2.3121039819454857e-4,1.1513022021361833e-4,1.2180186342971794e-4
KOR,South Korea,2019-02-16,7.699194875534106e-5,1.1435740170227498e-4,1.1928805291141554e-4
KOR,South Korea,2019-02-17,7.939468334941355e-5,1.1589858662918621e-4,1.200235363593767e-4
KOR,South Korea,2019-02-18,1.2306443624578446e-4,1.2001072321705367e-4,1.216884236110631e-4
KOR,South Korea,2019-02-19,,1.2277348659529407e-4,1.2054001512240239e-4
KOR,South Korea,2019-02-20,6.106302280341902e-5,1.2216309409078508e-4,1.1617685632347995e-4
KOR,South Korea,2019-02-21,1.4583520478994903e-4,1.2655559814255598e-4,1.1540309859463595e-4
KOR,South Korea,2019-02-22,2.599416290913813e-4,1.355456564093555e-4,1.2072191569390334e-4
KOR,South Korea,2019-02-23,1.1387988976512917e-4,1.3506629618663778e-4,1.2073540402331834e-4
KOR,South Korea,2019-02-24,1.0932652983152966e-4,1.3705167507182807e-4,1.2134147469962392e-4
KOR,South Korea,2019-02-25,1.445468799595699e-4,1.3961737148012203e-4,1.2233173648911415e-4
KOR,South Korea,2019-02-26,1.651686794833934e-4,1.414511189319043e-4,1.2176482175119748e-4
KOR,South Korea,2019-02-27,2.3085776318454703e-4,1.4875157408173788e-4,1.2322306719940047e-4
KOR,South Korea,2019-02-28,1.8540397782522511e-4,1.482065417907101e-4,1.264245531257165e-4
KOR,South Korea,2019-03-01,1.336415996586175e-4,1.4070124959563848e-4,1.2744219732347987e-4
KOR,South Korea,2019-03-02,1.278370569343042e-4,1.4461241176325104e-4,1.2892462876867085e-4
KOR,South Korea,2019-03-03,3.122100739953263e-4,1.6252128796678277e-4,1.3834655393988086e-4
KOR,South Korea,2019-03-04,1.0982605157495426e-4,1.615029506844112e-4,1.399884623680036e-4
KOR,South Korea,2019-03-05,,1.615029506844112e-4,1.4213821863985266e-4
KOR,South Korea,2019-03-06,9.523292733302104e-5,1.64131404878996e-4,1.4314724948489055e-4
KOR,South Korea,2019-03-07,6.424057569292097e-5,1.5785489494845537e-4,1.4220524654550568e-4
KOR,South Korea,2019-03-08,1.328294228520797e-4,1.4807703293004756e-4,1.418113446697015e-4
KOR,South Korea,2019-03-09,1.4076736788756492e-4,1.5014530047792723e-4,1.426057983322825e-4
KOR,South Korea,2019-03-10,1.4134944649413228e-4,1.526086017596659e-4,1.4483013841574697e-4
KOR,South Korea,2019-03-11,1.2462122826528295e-4,1.5107585932164382e-4,1.4534661540088292e-4
KOR,South Korea,2019-03-12,8.10787991817541e-5,1.446074069907485e-4,1.430292629613264e-4
KOR,South Korea,2019-03-13,6.952715661980274e-5,1.32197360331922e-4,1.4047446720682994e-4
KOR,South Korea,2019-03-14,1.0524120456517408e-4,1.2603099315807193e-4,1.3711876747439102e-4
KOR,South Korea,2019-03-15,6.847853331751364e-5,1.2101844959337163e-4,1.3085984959450506e-4
KOR,South Korea,2019-03-16,7.839549821968824e-5,1.172152527691704e-4,1.309138322662107e-4
KOR,South Korea,2019-03-17,5.842903862429004e-5,9.769363466370607e-5,1.3010746131524443e-4
KOR,South Korea,2019-03-18,1.3480467804723767e-4,9.961506746926634e-5,1.305590090768388e-4
KOR,South Korea,2019-03-19,1.0367863050922134e-4,9.990532197212027e-5,1.2956343950026037e-4
KOR,South Korea,2019-03-20,,1.0026473694435866e-4,1.3219807091167734e-4
KOR,South Korea,2019-03-21,6.705135060070785e-5,1.004809503988038e-4,1.291679226736296e-4
