country_iso3,country_name,date,country_no2_index_daily,country_no2_index_14dma,country_no2_index_28dma
THA,Thailand,2019-01-01,3.248889623056809e-5,3.248889623056809e-5,3.248889623056809e-5
THA,Thailand,2019-01-02,4.0949262773230696e-5,3.671907950189939e-5,3.671907950189939e-5
THA,Thailand,2019-01-03,3.2564950223396795e-5,3.533436974239853e-5,3.533436974239853e-5
THA,Thailand,2019-01-04,2.558778494983649e-5,3.2897723544258016e-5,3.2897723544258016e-5
THA,Thailand,2019-01-05,3.282427962661623e-5,3.288303476072966e-5,3.288303476072966e-5
THA,Thailand,2019-01-06,5.718491018343625e-5,3.693334733118076e-5,3.693334733118076e-5
THA,Thailand,2019-01-07,4.1018987343641307e-5,3.751701019010369e-5,3.751701019010369e-5
THA,Thailand,2019-01-08,3.6291836500187737e-05,3.73638634788642e-5,3.73638634788642e-5
THA,Thailand,2019-01-09,4.802640198748834e-5,3.854858997982244e-5,3.854858997982244e-5
THA,Thailand,2019-01-10,5.370909520482459e-5,4.006464050232265e-5,4.006464050232265e-5
THA,Thailand,2019-01-11,6.845931446998567e-5,4.2645974499382925e-5,4.2645974499382925e-5
THA,Thailand,2019-01-12,4.575282702949341e-5,4.2904878876892136e-5,4.2904878876892136e-5
THA,Thailand,2019-01-13,3.8693938992686845e-5,4.2580960424260956e-5,4.2580960424260956e-5
THA,Thailand,2019-01-14,3.982254075366216e-5,4.2383930447789613e-5,4.2383930447789613e-5
THA,Thailand,2019-01-15,5.3787161212847e-5,4.3905235089380967e-5,4.3144145832126776e-5
THA,Thailand,2019-01-16,4.559559186394405e-5,4.423711573871763e-5,4.3297361209115355e-5
THA,Thailand,2019-01-17,4.135073070055565e-5,4.4864671487086125e-5,4.3182853532141254e-5
THA,Thailand,2019-01-18,4.419224144716951e-5,4.6193561236895624e-5,4.3238930638531714e-5
THA,Thailand,2019-01-19,4.150071383431597e-5,4.681330653744561e-5,4.314744554357299e-5
THA,Thailand,2019-01-20,4.199557660778108e-5,4.572835413918452e-5,4.308985209678339e-5
THA,Thailand,2019-01-21,4.285388076775945e-5,4.585941795519296e-5,4.307861536682987e-5
THA,Thailand,2019-01-22,4.405040975867759e-5,4.6413601759370806e-5,4.312278783918659e-5
THA,Thailand,2019-01-23,4.051261762682687e-5,4.5876902876466414e-5,4.300930217777964e-5
THA,Thailand,2019-01-24,4.877794041341706e-5,4.552467753422302e-5,4.3249662104264534e-5
THA,Thailand,2019-01-25,5.297877962186172e-5,4.441892504507131e-5,4.363882680496842e-5
THA,Thailand,2019-01-26,4.1720993661689104e-5,4.4130936947371006e-5,4.356506399176537e-5
THA,Thailand,2019-01-27,3.1093912412343055e-5,4.358807790591787e-5,4.3103169488823804e-5
THA,Thailand,2019-01-28,3.813575161386226e-5,4.346759296736074e-5,4.2925761707575174e-5
THA,Thailand,2019-01-29,5.366237895189266e-5,4.3458679948721144e-5,4.368195751905106e-5
THA,Thailand,2019-01-30,5.6078287408063834e-5,4.420744391615827e-5,4.422227982743795e-5
THA,Thailand,2019-01-31,4.945344504262797e-5,4.47862092263063e-5,4.482544035669621e-5
THA,Thailand,2019-02-01,3.995581740158382e-5,4.448360750876446e-5,4.5338584372830045e-5
THA,Thailand,2019-02-02,5.530731535951922e-5,4.546979333199326e-5,4.614154993471944e-5
THA,Thailand,2019-02-03,3.522284585031138e-5,4.498602684931686e-5,4.535719049425069e-5
THA,Thailand,2019-02-04,3.481545720960614e-5,4.441185373802019e-5,4.5135635846606576e-5
THA,Thailand,2019-02-05,3.8719269611887334e-05,4.4031058013249456e-5,4.522232988631013e-5
THA,Thailand,2019-02-06,3.1791814814589276e-5,4.340814352666106e-5,4.4642523201563736e-5
THA,Thailand,2019-02-07,3.123005687930369e-5,4.215472327422439e-5,4.3839700404223706e-5
THA,Thailand,2019-02-08,3.61148019658119e-5,4.09501534416494e-5,4.268453924336036e-5
THA,Thailand,2019-02-09,3.592177160448966e-5,4.053592329470658e-5,4.233343012103879e-5
THA,Thailand,2019-02-10,3.3450671043377576e-5,4.070426319692334e-5,4.214617055142061e-5
THA,Thailand,2019-02-11,3.6912927479704795e-5,4.061691861591209e-5,4.2042255791636416e-5
THA,Thailand,2019-02-12,4.3630580039625225e-5,3.990036155075013e-5,4.1679520749735636e-5
THA,Thailand,2019-02-13,4.672742917249725e-5,3.923244310535251e-5,4.1719943510755396e-5
THA,Thailand,2019-02-14,3.726719084241562e-5,3.836199637676592e-5,4.157410280153611e-5
THA,Thailand,2019-02-15,3.7622139885451516e-5,3.8195305125613614e-5,4.133945631718904e-5
THA,Thailand,2019-02-16,4.088313417817106e-5,3.7165006469803027e-05,4.1317399900898147e-5
THA,Thailand,2019-02-17,2.9306362555299046e-5,3.674240052015929e-5,4.086421368473808e-5
THA,Thailand,2019-02-18,3.27642535139263e-5,3.659588597046787e-5,4.0503869854244036e-5
THA,Thailand,2019-02-19,3.3042118705358334e-5,3.6190375191430086e-5,4.011071660233977e-5
THA,Thailand,2019-02-20,3.5538299541257965e-5,3.6457981243335e-5,3.9933062384998025e-5
THA,Thailand,2019-02-21,4.0580975846498166e-5,3.712590402670603e-5,3.964031365046521e-5
THA,Thailand,2019-02-22,3.836895793508165e-5,3.728691516736815e-5,3.911853430450878e-5
THA,Thailand,2019-02-23,3.757637600553971e-5,3.7405101196014586e-5,3.8970512245360585e-5
THA,Thailand,2019-02-24,3.3701766138082874e-5,3.7423036559922106e-5,3.9063649878422725e-5
THA,Thailand,2019-02-25,3.665716846800208e-5,3.7404768059086203e-5,3.9010843337499146e-5
THA,Thailand,2019-02-26,3.9533718341624474e-5,3.7112135080657576e-5,3.850624831570385e-5
THA,Thailand,2019-02-27,4.4377290546883955e-5,3.694426803597091e-5,3.808835557066171e-5
THA,Thailand,2019-02-28,3.4738461362251536e-5,3.676364450167348e-5,3.75628204392197e-5
THA,Thailand,2019-03-01,2.948468782137629e-5,3.6182397925668104e-5,3.7188851525640856e-5
THA,Thailand,2019-03-02,3.252520665409568e-5,3.558540310251986e-5,3.637520478616145e-5
THA,Thailand,2019-03-03,3.3221040362732416e-5,3.586502294590796e-5,3.630371173303363e-5
THA,Thailand,2019-03-04,3.21108007650999e-5,3.581834774956322e-5,3.620711686001555e-5
THA,Thailand,2019-03-05,3.38705175567532e-5,3.5877519096091424e-5,3.603394714376075e-5
THA,Thailand,2019-03-06,3.891983458335961e-5,3.6119057313384396e-5,3.6288519278359694e-5
THA,Thailand,2019-03-07,3.218354107077005e-5,3.551924054368953e-5,3.632257228519778e-5
THA,Thailand,2019-03-08,3.400632798867721e-5,3.5207624118946354e-5,3.6247269643157256e-5
THA,Thailand,2019-03-09,3.5285284928059755e-5,3.5043974756269214e-5,3.62245379761419e-5
THA,Thailand,2019-03-10,3.342954237744081e-5,3.502453020193764e-5,3.622378338092988e-5
THA,Thailand,2019-03-11,4.283281383722277e-5,3.546564772831055e-5,3.6435207893698376e-5
THA,Thailand,2019-03-12,5.161153220655115e-5,3.6328348718662455e-5,3.672024189966001e-5
THA,Thailand,2019-03-13,4.073203740046911e-5,3.606797349391854e-5,3.650612076494472e-5
THA,Thailand,2019-03-14,4.530070848254349e-5,3.682241971679653e-5,3.6793032109235e-5
