country_iso3,country_name,month,n_days_total,n_days_with_value,country_no2_index,average_cities_with_value,average_data_coverage
IDN,Indonesia,2019-01-01,31,31,2.0516516365701582e-5,24.322580645161292,0.17998984712164434
IDN,Indonesia,2019-02-01,28,28,2.0264214978018918e-5,25,0.2748556527372854
IDN,Indonesia,2019-03-01,31,31,2.0925200139514022e-5,25,0.23099103211176944
IDN,Indonesia,2019-04-01,30,30,2.2045401347456127e-5,25,0.29663501446555635
IDN,Indonesia,2019-05-01,31,31,2.0775877947107582e-5,25,0.41088294930875574
IDN,Indonesia,2019-06-01,30,30,2.0136681815695386e-5,25,0.4288289040060469
IDN,Indonesia,2019-07-01,31,31,1.9165070269289387e-5,25,0.5012611220832419
IDN,Indonesia,2019-08-01,31,31,1.8695552555460127e-5,25,0.48035716480140445
IDN,Indonesia,2019-09-01,30,30,2.074714971601195e-5,25,0.4789852456538171
IDN,Indonesia,2019-10-01,31,31,2.4491744234936994e-5,25,0.40287019237802646
IDN,Indonesia,2019-11-01,30,30,2.6409043735193687e-5,25,0.37568834089191233
IDN,Indonesia,2019-12-01,31,31,2.5359100035961955e-5,25,0.2307470411820642
IDN,Indonesia,2020-01-01,31,31,2.1099256721800277e-5,25,0.22234534415916907
IDN,Indonesia,2020-02-01,29,29,1.915431067441639e-5,25,0.18815613417780905
IDN,Indonesia,2020-03-01,31,31,1.9077848105052174e-5,25,0.2317648745519713
IDN,Indonesia,2020-04-01,30,30,1.8879965263768848e-5,25,0.28294178886369364
IDN,Indonesia,2020-05-01,31,31,1.859230887688847e-5,25,0.3004591324701924
IDN,Indonesia,2020-06-01,30,30,1.806861083306181e-5,25,0.3588047770219199
IDN,Indonesia,2020-07-01,31,31,1.8025508289180054e-5,25,0.36361685319289005
IDN,Indonesia,2020-08-01,31,31,1.793414557765827e-5,25,0.4154262307073367
IDN,Indonesia,2020-09-01,30,30,1.850040579555123e-5,25,0.36390621315192745
IDN,Indonesia,2020-10-01,31,31,1.9985959260282914e-5,25,0.23768561187916026
IDN,Indonesia,2020-11-01,30,30,2.0472649091536437e-5,25,0.23348628873771732
IDN,Indonesia,2020-12-01,31,31,2.0391640997145013e-5,25,0.1429767195767196
IDN,Indonesia,2021-01-01,31,31,1.9167099230428366e-5,25,0.08177306707629288
IDN,Indonesia,2021-02-01,28,28,1.8697222859608742e-5,25,0.15078519598315518
