country_iso3,country_name,date,country_no2_index_daily_average,country_no2_index_14dma_average,country_no2_index_28dma_average
CHN,China,2019-01-01,1.9314496442551346e-4,2.0257489245109424e-4,2.0269375907856248e-4
CHN,China,2019-02-01,1.1464262557419862e-4,1.1556844566783394e-4,1.384494774866847e-4
CHN,China,2019-03-01,1.4729329178275147e-4,1.4942224550776813e-4,1.396772259368303e-4
CHN,China,2019-04-01,1.0896759054608053e-4,1.2044620560171731e-4,1.3236238219556674e-4
CHN,China,2019-05-01,9.706124708033868e-5,9.617318650283714e-5,9.834460452478778e-5
CHN,China,2019-06-01,7.503388926969237e-5,8.071758410106154e-5,8.512396547462048e-5
CHN,China,2019-07-01,6.253928258227376e-5,6.423107361913083e-5,6.787847810422006e-5
CHN,China,2019-08-01,6.154669786841317e-5,6.100053589058796e-5,5.981047866920768e-5
CHN,China,2019-09-01,8.061461205574513e-5,7.443205693682205e-5,6.977819121261233e-5
CHN,China,2019-10-01,1.197063193708358e-4,1.0503477047282936e-4,9.540990770016012e-5
CHN,China,2019-11-01,1.7707678249832698e-4,1.709556789445607e-4,1.58232847092681e-4
CHN,China,2019-12-01,1.8238363828615157e-4,1.8804332706071013e-4,1.8962072069489823e-4
CHN,China,2020-01-01,1.3735458368468832e-4,1.5736748489534022e-4,1.6666516774203834e-4
CHN,China,2020-02-01,6.519417175140182e-5,6.364471758171893e-5,8.028619386142757e-5
CHN,China,2020-03-01,1.068898534974163e-4,9.886248884128549e-5,8.718589900479754e-5
CHN,China,2020-04-01,1.162872220257379e-4,1.16559841144772e-4,1.1784959550836957e-4
CHN,China,2020-05-01,7.952876642434295e-5,8.661555780416661e-5,9.288929193784857e-5
CHN,China,2020-06-01,6.616549948130923e-5,7.1378822722873e-5,7.525701465255268e-5
CHN,China,2020-07-01,5.4077776833364675e-5,5.413612865245501e-5,5.687794053419331e-5
CHN,China,2020-08-01,5.7606395145724826e-5,5.6742005828280167e-5,5.548120556913063e-5
CHN,China,2020-09-01,7.825641434220076e-5,7.313157821214238e-5,6.878953145921786e-5
CHN,China,2020-10-01,1.2473421895058955e-4,1.0994698789976826e-4,9.791261013309584e-5
CHN,China,2020-11-01,1.61985577430085e-4,1.5767753633267763e-4,1.5312896006485258e-4
CHN,China,2020-12-01,2.7360179530591504e-4,2.537326023699151e-4,2.200371406499443e-4
CHN,China,2021-01-01,2.524130017273635e-4,2.6133896951526387e-4,2.702738477702148e-4
CHN,China,2021-02-01,1.2528127386157224e-4,1.4469357844088034e-4,1.825133474719918e-4
CHN,China,2021-03-01,1.4768355627240145e-4,1.444544425022352e-4,1.3680773612529087e-4
CHN,China,2021-04-01,1.209093865818308e-4,1.3077379135245838e-4,1.357044133783066e-4
CHN,China,2021-05-01,9.259442067223491e-5,9.602123659192056e-5,1.0301251918313661e-4
CHN,China,2021-06-01,7.887993845699605e-5,8.197841707363915e-5,8.481456574654178e-5
CHN,China,2021-07-01,6.298233568572229e-5,6.559266200135471e-5,6.9426912983684065e-05
CHN,China,2021-08-01,6.482426960624087e-5,6.470927431033232e-5,6.426510636537043e-5
CHN,China,2021-09-01,8.332901776636691e-5,7.683783363803085e-5,7.219321564485242e-5
CHN,China,2021-10-01,1.3400900809655122e-4,0.00011580144343509858,1.0229273398517094e-4
CHN,China,2021-11-01,2.08143594465539e-4,1.9807052261106419e-4,1.7873291734294618e-4
CHN,China,2021-12-01,2.4498874921961736e-4,2.3856094159831838e-4,2.360255361074427e-4
CHN,China,2022-01-01,2.0349810443678703e-4,2.3095538464228927e-4,2.395523975350816e-4
CHN,China,2022-02-01,1.4094975996325766e-4,1.2835281330922436e-4,1.420823855447781e-4
CHN,China,2022-03-01,1.2308105979084194e-4,1.4130356463957068e-4,1.4807459205188857e-4
CHN,China,2022-04-01,8.82493223002889e-5,9.096069541796303e-5,9.760630639420631e-5
CHN,China,2022-05-01,7.785321112596486e-5,7.826293981793997e-5,7.966684236354344e-5
CHN,China,2022-06-01,7.154862353949433e-5,7.409919515268116e-5,7.531713079400803e-5
CHN,China,2022-07-01,6.202882788621248e-5,6.214809703825825e-5,6.456124561262538e-5
CHN,China,2022-08-01,6.308509276770489e-5,6.255699001918001e-5,6.238745814184319e-5
CHN,China,2022-09-01,8.670354824989729e-5,7.86864186665591e-5,7.321557440087514e-5
CHN,China,2022-10-01,1.171286357900446e-4,1.1424119717183515e-4,1.0445267545103631e-4
CHN,China,2022-11-01,1.480288176181831e-4,1.4730389303799034e-4,1.39563170757435e-4
CHN,China,2022-12-01,1.9859493922078016e-4,1.7497695673409776e-4,1.7040600547750087e-4
CHN,China,2023-01-01,1.5483886896377024e-4,1.8241775589859468e-4,1.959274850245114e-4
CHN,China,2023-02-01,1.5767316620048815e-4,1.442800640210913e-4,1.3658158310434328e-4
CHN,China,2023-03-01,1.467519126040577e-4,1.5034613256086687e-4,1.5406426791888484e-4
CHN,China,2023-04-01,9.890900856505768e-5,1.1051491037746748e-4,1.1917868433443567e-4
CHN,China,2023-05-01,8.178198396450327e-5,8.304851205377243e-5,8.706229874286976e-5
CHN,China,2023-06-01,7.827757684361175e-5,8.104141498057794e-5,8.191745402661898e-5
CHN,China,2023-07-01,6.3747287281784e-5,6.646549903574103e-5,6.969810530156281e-5
CHN,China,2023-08-01,6.305225234728497e-5,6.20585963429055e-5,6.167110860905556e-5
CHN,China,2023-09-01,7.66804570137299e-5,7.31085642704223e-5,7.015500901717603e-5
CHN,China,2023-10-01,1.2741876520256016e-4,1.1243625702406947e-4,9.964786993146942e-5
CHN,China,2023-11-01,1.7627208581220033e-4,1.7067488294311408e-4,1.5757982675278231e-4
CHN,China,2023-12-01,1.99269438167041e-4,1.9144954228145133e-4,1.918280736887921e-4
CHN,China,2024-01-01,1.9404332438312854e-4,1.966439773549128e-4,1.9764969092164413e-4
CHN,China,2024-02-01,9.475350625056642e-5,1.155471327001716e-4,1.4185776318164492e-4
CHN,China,2024-03-01,1.1354818587437276e-4,1.140951925288226e-4,1.0666633539099727e-4
CHN,China,2024-04-01,9.213685448637604e-5,9.613121706437199e-5,1.0177152611438268e-4
CHN,China,2024-05-01,7.726243226736816e-5,7.919277853542288e-5,8.190691565944784e-5
CHN,China,2024-06-01,7.242122958202726e-5,7.503822067715883e-5,7.703178233785696e-5
CHN,China,2024-07-01,5.298884593744075e-5,5.567913302232608e-5,5.9533919185970334e-5
CHN,China,2024-08-01,5.730240063178383e-5,5.554218052483169e-5,5.472477996060074e-5
CHN,China,2024-09-01,7.18091397269229e-5,6.694415442647255e-5,6.356068763485134e-5
CHN,China,2024-10-01,1.125065123673485e-4,1.0143349679445867e-4,9.21132722175861e-5
