country_iso3,country_name,date,country_no2_index_daily_average,country_no2_index_14dma_average,country_no2_index_28dma_average
HKG,Hong Kong,2019-01-01,1.8832662065857873e-4,1.8433043459498973e-4,1.7187148294079384e-4
HKG,Hong Kong,2019-02-01,1.0786437687597004e-4,1.0641546563566676e-4,1.3406540381797862e-4
HKG,Hong Kong,2019-03-01,9.684564749053081e-5,1.2070589658027823e-4,1.1669367909800029e-4
HKG,Hong Kong,2019-04-01,8.606869569276178e-5,8.905002722271574e-5,9.441039721917186e-5
HKG,Hong Kong,2019-05-01,9.215357904873019e-5,8.924093220257362e-5,8.740049380101773e-5
HKG,Hong Kong,2019-06-01,7.844758857852574e-5,7.972538621083056e-5,8.105144490576527e-5
HKG,Hong Kong,2019-07-01,8.202859354654324e-5,7.96166310938674e-5,7.670262912753156e-5
HKG,Hong Kong,2019-08-01,8.705106815968276e-5,8.757687514090029e-5,8.79350615647013e-5
HKG,Hong Kong,2019-09-01,9.082299607370925e-5,8.737006999457415e-5,8.822799396530852e-5
HKG,Hong Kong,2019-10-01,9.853311495985689e-5,9.761806754487463e-5,9.599071715457887e-5
HKG,Hong Kong,2019-11-01,1.495124023455186e-4,1.338352531773512e-4,1.2130419920170544e-4
HKG,Hong Kong,2019-12-01,1.7334447513335115e-4,1.8034028917894254e-4,1.7522661090850857e-4
HKG,Hong Kong,2020-01-01,1.0879552501494671e-4,1.2235129171322485e-4,1.390812560232087e-4
HKG,Hong Kong,2020-02-01,8.172383002387857e-5,6.89005187343942e-5,7.55614314203693e-5
HKG,Hong Kong,2020-03-01,6.225114597510423e-5,7.213463030304875e-5,7.723233228367106e-5
HKG,Hong Kong,2020-04-01,1.0668189978896315e-4,9.162850430492746e-5,8.480400158212704e-5
HKG,Hong Kong,2020-05-01,7.979384576611011e-5,8.485838829519445e-5,8.866916419391203e-5
HKG,Hong Kong,2020-06-01,5.9828126372724795e-5,6.480177670521942e-5,7.071221036246368e-5
HKG,Hong Kong,2020-07-01,6.248496774448553e-5,5.982644177084928e-5,5.790037011297038e-5
HKG,Hong Kong,2020-08-01,7.73116235204181e-5,7.231446528023503e-5,6.962285362738626e-5
HKG,Hong Kong,2020-09-01,8.164489331384879e-5,8.348680284196224e-5,8.526127241555951e-5
HKG,Hong Kong,2020-10-01,8.031078860404228e-5,7.810625561858667e-5,7.632025473393273e-5
HKG,Hong Kong,2020-11-01,1.2187230617870381e-4,1.1162160068436543e-4,1.041589363074014e-4
HKG,Hong Kong,2020-12-01,1.698327802391927e-4,1.6542933362344154e-4,1.5252983196112119e-4
HKG,Hong Kong,2021-01-01,2.0985247759539052e-4,2.1518057555514308e-4,2.0236251798944987e-4
HKG,Hong Kong,2021-02-01,1.1897269089527491e-4,1.279670477602286e-4,1.5461388180185414e-4
HKG,Hong Kong,2021-03-01,1.0974187674466108e-4,1.1389193203577772e-4,1.1307171311825176e-4
HKG,Hong Kong,2021-04-01,1.0740574051280816e-4,9.795453246566273e-5,1.0226566378323593e-4
HKG,Hong Kong,2021-05-01,8.385413390684273e-5,9.741105962133174e-5,1.026212395978201e-4
HKG,Hong Kong,2021-06-01,7.045730636463807e-5,7.341573119124466e-5,7.516823358774518e-5
HKG,Hong Kong,2021-07-01,9.313882121672565e-5,8.39254253394952e-5,7.349280845632628e-5
HKG,Hong Kong,2021-08-01,8.595097440068903e-5,9.569867246029654e-5,1.0042087589390823e-4
HKG,Hong Kong,2021-09-01,9.953035930144216e-5,9.348196550379068e-5,9.131994022488093e-5
HKG,Hong Kong,2021-10-01,9.682137067793508e-5,9.358425287356598e-5,9.364929379920504e-5
HKG,Hong Kong,2021-11-01,1.516990111159529e-4,1.3829390262711853e-4,1.2676525171774418e-4
HKG,Hong Kong,2021-12-01,1.8640736859367932e-4,1.7142101249431382e-4,1.6916171080923575e-4
HKG,Hong Kong,2022-01-01,1.4561493697024753e-4,1.7697491913112946e-4,1.836984971725263e-4
HKG,Hong Kong,2022-02-01,1.1827967263096145e-4,1.0596389371476422e-4,1.1285535848246412e-4
HKG,Hong Kong,2022-03-01,1.057594145536765e-4,1.1067751300247531e-4,1.1849355548506938e-4
HKG,Hong Kong,2022-04-01,1.0398879294399769e-4,1.034772917630751e-4,1.0435640537761054e-4
HKG,Hong Kong,2022-05-01,8.745687123993379e-5,8.95232695510573e-5,8.96870570734916e-5
