country_iso3,country_name,date,country_no2_index_daily_average,country_no2_index_14dma_average,country_no2_index_28dma_average
IND,India,2019-01-01,5.5366279268149165e-5,5.704501377449857e-5,5.738628172227334e-5
IND,India,2019-02-01,4.826532889719286e-5,5.044516490301698e-5,5.2426970328329536e-5
IND,India,2019-03-01,4.568741675096106e-5,4.4704163994582174e-5,4.5077697121527045e-5
IND,India,2019-04-01,4.457756702748395e-5,4.517094320987815e-5,4.580560807598024e-5
IND,India,2019-05-01,3.911874530093393e-5,3.9906104155454695e-5,4.096416834486387e-5
IND,India,2019-06-01,3.979793174058014e-5,3.99985532807665e-5,3.9901411652335046e-5
IND,India,2019-07-01,2.7976812545651986e-5,3.1057911863477383e-5,3.347022273148618e-5
IND,India,2019-08-01,2.5037473838732243e-5,2.496163263045254e-5,2.5862889499858566e-5
IND,India,2019-09-01,2.652247943751426e-5,2.6363739447688503e-5,2.5875748554488785e-5
IND,India,2019-10-01,3.494305567645527e-5,3.295699724630788e-5,3.0856022323248675e-5
IND,India,2019-11-01,4.1607086095587457e-5,3.882553050618231e-5,3.725285012232414e-5
IND,India,2019-12-01,4.71598683268126e-5,4.7102659877438496e-5,4.6085697694665825e-5
IND,India,2020-01-01,4.635113178985163e-5,4.6611619261905486e-5,4.6831137402858134e-5
IND,India,2020-02-01,4.438152946873405e-5,4.477463459839244e-5,4.5233627669851274e-5
IND,India,2020-03-01,3.6782742346008674e-5,3.93083569808198e-5,4.073986775338767e-5
IND,India,2020-04-01,3.1634571044749595e-5,3.159923268556106e-5,3.305505522094588e-5
IND,India,2020-05-01,3.291688586676627e-5,3.312475955798036e-5,3.2781607214599196e-5
IND,India,2020-06-01,2.9591115359424668e-5,3.0220161469989173e-5,3.13342159907596e-5
IND,India,2020-07-01,2.557459018813202e-5,2.6290385073841524e-5,2.743670867334318e-5
IND,India,2020-08-01,2.2337687842559074e-5,2.3188262842733702e-5,2.3887771594114167e-5
IND,India,2020-09-01,2.8040462505833795e-5,2.6875972239429057e-5,2.496025528548232e-5
IND,India,2020-10-01,3.557424335160567e-5,3.2743011716414834e-5,3.135033143888824e-5
IND,India,2020-11-01,4.361088353632921e-5,4.210026246553735e-5,4.030237949602355e-5
IND,India,2020-12-01,5.474005286362139e-5,5.292036933365772e-5,5.0846894763035996e-5
IND,India,2021-01-01,5.49412934922023e-5,5.526340521115304e-5,5.464577743520913e-5
IND,India,2021-02-01,5.339854678362734e-5,5.471195811674242e-5,5.501462108232891e-5
IND,India,2021-03-01,5.201510462075427e-5,5.1709205467393434e-5,5.18951160645262e-5
IND,India,2021-04-01,4.3437564108463335e-5,4.483594679387424e-5,4.708222981950761e-5
IND,India,2021-05-01,3.346164922559592e-5,3.626262902401872e-5,3.858460407404144e-5
IND,India,2021-06-01,3.2974057677512424e-5,3.240832205994535e-5,3.2574500150698686e-5
IND,India,2021-07-01,2.975091180329452e-5,3.152012026898253e-5,3.203682175617671e-5
IND,India,2021-08-01,2.883818606066067e-5,2.8007597568799342e-5,2.8121791605786008e-5
IND,India,2021-09-01,2.962313035753817e-5,2.882252878330851e-5,2.8900188105977227e-5
IND,India,2021-10-01,4.22749087012305e-5,3.939060361230447e-5,3.6367777117093636e-5
IND,India,2021-11-01,4.914102577301707e-5,4.830437108437252e-5,4.647687675732024e-5
IND,India,2021-12-01,5.068393294239119e-5,5.00712813289737e-5,4.964950759278295e-5
IND,India,2022-01-01,5.03584997953426e-5,5.0954083380522884e-5,5.176466077545829e-5
IND,India,2022-02-01,4.917369522564898e-5,4.947862890229998e-5,4.93925486604715e-5
IND,India,2022-03-01,4.89018908107136e-5,4.882270217618664e-5,4.8601283303033964e-5
IND,India,2022-04-01,4.693288416419587e-5,4.761141628473435e-5,4.83833328678757e-5
IND,India,2022-05-01,4.1209031895256027e-5,4.251738926633404e-5,4.3992552541102026e-5
IND,India,2022-06-01,3.932025601269692e-5,3.98132820945375e-5,4.015643174191804e-5
IND,India,2022-07-01,2.9239920156893713e-5,3.1278956102504996e-5,3.3607865549214806e-5
IND,India,2022-08-01,2.8212323121062168e-5,2.759197907748863e-5,2.8030260173637694e-5
IND,India,2022-09-01,3.19274004254879e-5,3.142094090796115e-5,3.0430432520108357e-5
IND,India,2022-10-01,3.8806953883882195e-5,3.6228398465820966e-5,3.3908225192109725e-5
IND,India,2022-11-01,5.43269993049182e-5,5.1224246070495377e-5,4.793521967455274e-5
IND,India,2022-12-01,6.168956431475e-5,6.018422735833961e-5,5.8702168858556615e-5
IND,India,2023-01-01,5.8844469017873965e-5,6.147303741148355e-5,6.147820103018063e-5
IND,India,2023-02-01,5.7201704274313046e-5,5.6644063884403215e-5,5.740853874732788e-5
IND,India,2023-03-01,4.830162477311403e-5,5.0520040044121635e-5,5.2639545899057175e-5
IND,India,2023-04-01,4.489856717977178e-5,4.497334504262665e-5,4.568180743985982e-5
IND,India,2023-05-01,4.142943371393884e-5,4.2654464380338045e-5,4.363623251558662e-5
IND,India,2023-06-01,3.645925578462456e-5,3.764040045180227e-5,3.9108832659420145e-5
IND,India,2023-07-01,2.9174476742335773e-5,3.0621177538708246e-5,3.251767098257542e-5
IND,India,2023-08-01,2.594620854969265e-5,2.5619488010881922e-5,2.5668069362935398e-5
IND,India,2023-09-01,3.33387582948652e-5,3.148291009803306e-5,3.0538849725443984e-5
IND,India,2023-10-01,4.4999555226780656e-5,4.157832654046017e-5,3.8243003051030755e-5
IND,India,2023-11-01,5.0486237533995177e-5,5.095732006474555e-5,5.016453299543876e-5
IND,India,2023-12-01,5.3585352497295116e-5,5.212536260575521e-5,5.0933275287322216e-5
IND,India,2024-01-01,5.6254516667147624e-5,5.5948894648529827e-5,5.517505670054664e-5
IND,India,2024-02-01,4.7691864640606584e-5,5.061533503641087e-5,5.287086871981198e-5
IND,India,2024-03-01,4.3805013640020975e-5,4.43915812940657e-5,4.538433643146104e-5
IND,India,2024-04-01,4.3943270551157537e-5,4.429790844693235e-5,4.420466728816697e-5
IND,India,2024-05-01,4.915917904446368e-5,4.801997283121267e-5,4.645619768254569e-5
