country_iso3,country_name,date,country_no2_index_daily_average,country_no2_index_14dma_average,country_no2_index_28dma_average
IDN,Indonesia,2019-01-01,2.0120233031485375e-5,2.0488207908243506e-5,2.0718146882301407e-5
IDN,Indonesia,2019-02-01,2.0865403247844334e-5,2.015766735726442e-5,2.0070804393888344e-5
IDN,Indonesia,2019-03-01,2.1145230081750403e-5,2.0865623363852196e-5,2.071767229969453e-5
IDN,Indonesia,2019-04-01,2.1222849466780762e-5,2.1752647978361846e-5,2.1901637055172723e-5
IDN,Indonesia,2019-05-01,2.0583846968529493e-5,2.0371601245693547e-5,2.026233012766013e-5
IDN,Indonesia,2019-06-01,1.9704090327891857e-5,1.9944742164131774e-5,2.017177073634819e-5
IDN,Indonesia,2019-07-01,1.903751660402208e-5,1.908804189320182e-5,1.9381814603986075e-5
IDN,Indonesia,2019-08-01,1.9476974256566587e-5,1.899781924294354e-5,1.882297358354918e-5
IDN,Indonesia,2019-09-01,2.165402763445744e-5,2.1130217694597035e-5,2.094610979647057e-5
IDN,Indonesia,2019-10-01,2.7120704825012757e-5,2.6386767633520315e-5,2.462032812912878e-5
IDN,Indonesia,2019-11-01,2.4941329747690633e-5,2.560695665744287e-5,2.625822885131473e-5
IDN,Indonesia,2019-12-01,2.3917727770905868e-5,2.4241477796727978e-5,2.472909813418272e-5
IDN,Indonesia,2020-01-01,1.8421919158883495e-5,1.9176784435696542e-5,2.048732716880091e-5
IDN,Indonesia,2020-02-01,1.9364880649486795e-5,1.978124578986485e-5,1.919808175118006e-5
IDN,Indonesia,2020-03-01,1.8587068720768324e-5,1.8518210859213565e-5,1.8806780763899675e-5
IDN,Indonesia,2020-04-01,1.920898691601308e-5,1.891560665099388e-5,1.8866245193802858e-5
IDN,Indonesia,2020-05-01,1.769329369829163e-5,1.8244145455750333e-5,1.852455841436971e-5
IDN,Indonesia,2020-06-01,1.891011036372574e-5,1.8503260552449877e-5,1.81468687249092e-5
IDN,Indonesia,2020-07-01,1.769926999396946e-5,1.7810714395032125e-5,1.8165393154922087e-5
IDN,Indonesia,2020-08-01,1.8245568515669013e-5,1.820586419589047e-5,1.8188690612935423e-5
IDN,Indonesia,2020-09-01,1.9041524337010696e-5,1.8878148174630583e-5,1.8494088065469477e-5
IDN,Indonesia,2020-10-01,2.0505029296101655e-5,2.0059730715839174e-5,1.9843959368163165e-5
