country_iso3,country_name,date,country_no2_index_daily_average,country_no2_index_14dma_average,country_no2_index_28dma_average
JPN,Japan,2019-01-01,5.474480429300457e-5,5.20091718676928e-5,5.1233739756291314e-5
JPN,Japan,2019-02-01,6.420163918870413e-5,6.357389259481488e-5,6.0884278544743045e-5
JPN,Japan,2019-03-01,4.989183473946526e-5,5.3636286202772764e-5,5.6376824414186654e-5
JPN,Japan,2019-04-01,4.32125686259661e-5,4.603569786874313e-5,4.753824255274327e-5
JPN,Japan,2019-05-01,4.762053063816463e-5,4.116682968310848e-5,4.17916936844228e-5
JPN,Japan,2019-06-01,3.7110510283844316e-5,4.315581127359271e-5,4.4541380741392786e-5
JPN,Japan,2019-07-01,3.1098095558831816e-5,3.2512373574248626e-5,3.3568721367933955e-5
JPN,Japan,2019-08-01,3.06834625679664e-5,3.033523807888259e-5,3.114281187892367e-5
JPN,Japan,2019-09-01,3.494705788627465e-5,3.379294229898653e-5,3.266925996305372e-5
JPN,Japan,2019-10-01,4.467619115946332e-5,4.2515109024098494e-5,4.02037476919839e-5
JPN,Japan,2019-11-01,5.449731926677288e-5,5.3867429765413894e-5,5.092281807547424e-5
JPN,Japan,2019-12-01,5.3991918320616055e-5,5.531575926829843e-5,5.541582091395051e-5
JPN,Japan,2020-01-01,4.8499077809452916e-5,4.8958321838153446e-5,4.9713311614858717e-05
JPN,Japan,2020-02-01,5.339738149904184e-5,5.153545590913323e-5,5.143534116394521e-5
JPN,Japan,2020-03-01,4.4535007757540724e-5,4.412122365450776e-5,4.630173605040158e-5
JPN,Japan,2020-04-01,3.48101854380333e-5,3.959561645596943e-5,4.183556680415134e-5
JPN,Japan,2020-05-01,3.393587566962912e-5,3.3422322733632156e-5,3.31443464938203e-5
JPN,Japan,2020-06-01,3.157660394879211e-5,3.2104576093202435e-5,3.348511131673687e-5
JPN,Japan,2020-07-01,2.4229386988409696e-5,2.543811058026751e-5,2.6279369505730907e-5
JPN,Japan,2020-08-01,2.9308584929514382e-5,2.8269976882455767e-5,2.7269364435675115e-5
JPN,Japan,2020-09-01,3.0735446038129605e-5,3.0608130451516176e-5,3.020065068949297e-5
JPN,Japan,2020-10-01,3.832409163142199e-5,3.6329348115039965e-5,3.4664472200568915e-5
JPN,Japan,2020-11-01,4.8732851271149587e-5,4.544432706462153e-5,4.332350472311901e-5
JPN,Japan,2020-12-01,6.437524024558453e-5,6.420709370136664e-5,6.009216095521222e-5
JPN,Japan,2021-01-01,6.1508022750519e-5,6.247817741585465e-5,6.27773501846872e-5
JPN,Japan,2021-02-01,5.8737187495241965e-5,6.0847530319401974e-5,6.265055936776106e-5
JPN,Japan,2021-03-01,5.088113018504917e-5,4.867197064033924e-5,4.958424690073223e-5
JPN,Japan,2021-04-01,4.3077242991917665e-5,4.575407144348184e-5,4.804820969505934e-5
