country_iso3,country_name,date,country_no2_index_daily_average,country_no2_index_14dma_average,country_no2_index_28dma_average
MYS,Malaysia,2019-01-01,2.0402320546296628e-5,2.0393058129575693e-5,2.0733691098639385e-5
MYS,Malaysia,2019-02-01,2.1004427365966025e-5,2.0410804019109448e-5,1.9865951339674725e-5
MYS,Malaysia,2019-03-01,2.5289209294846138e-5,2.4789342629043514e-5,2.4115662603181082e-5
MYS,Malaysia,2019-04-01,2.532486154996359e-5,2.5649917981529182e-5,2.5919704403021745e-5
MYS,Malaysia,2019-05-01,2.6196810049170117e-5,2.5802888802361734e-5,2.5065745042141356e-5
MYS,Malaysia,2019-06-01,2.193278148398099e-5,2.318216379579862e-5,2.4482429623369595e-5
MYS,Malaysia,2019-07-01,2.297492390895597e-5,2.2554688192003968e-5,2.228186817071576e-5
MYS,Malaysia,2019-08-01,2.0689621975084573e-5,2.1061228872504093e-5,2.157218909458687e-5
MYS,Malaysia,2019-09-01,1.830050108154643e-5,1.8263867541667913e-5,1.9089968367675465e-5
MYS,Malaysia,2019-10-01,2.195440106668598e-5,2.1477341173842115e-5,2.0333336853527548e-5
MYS,Malaysia,2019-11-01,2.2955168160424817e-5,2.385384333566759e-5,2.3598838690295175e-5
MYS,Malaysia,2019-12-01,1.916780890053257e-5,1.9424927708621568e-05,1.9934947732551735e-5
MYS,Malaysia,2020-01-01,1.8257029036282996e-5,1.8299946764308223e-5,1.875537775862318e-5
MYS,Malaysia,2020-02-01,1.794932861474256e-5,1.8449148681970655e-5,1.848940256783124e-5
MYS,Malaysia,2020-03-01,2.0477366848916798e-5,2.009570829117955e-5,1.9696328330623126e-5
MYS,Malaysia,2020-04-01,1.946053945624941e-5,1.837052036967004e-5,1.877429266976422e-5
MYS,Malaysia,2020-05-01,2.3871369953115298e-5,2.3255827637592544e-5,2.208628728803258e-5
MYS,Malaysia,2020-06-01,2.119477608284133e-5,2.2062267816773014e-5,2.306216553485044e-5
MYS,Malaysia,2020-07-01,2.180589513619313e-5,2.2028569725732804e-5,2.164049939336177e-5
MYS,Malaysia,2020-08-01,2.01414110735661e-5,2.007513668697028e-5,2.0370650571601812e-5
MYS,Malaysia,2020-09-01,2.0269432378567193e-5,2.0040083572350735e-5,1.9944702193186502e-5
MYS,Malaysia,2020-10-01,2.2490111471905582e-5,2.1349584971126838e-5,2.0935569861396615e-5
MYS,Malaysia,2020-11-01,2.004114048057963e-5,2.206051771068654e-5,2.2348568590101844e-5
MYS,Malaysia,2020-12-01,1.9776526808630436e-5,1.933872507711379e-5,1.9969912244717003e-5
MYS,Malaysia,2021-01-01,1.8323767313118603e-5,1.8412950011699278e-5,1.7756726687420125e-5
MYS,Malaysia,2021-02-01,2.1244027448921247e-5,2.0269684572032218e-5,2.023908722510786e-5
MYS,Malaysia,2021-03-01,1.9655763219078395e-5,2.0338403566092003e-5,2.048898581878543e-5
MYS,Malaysia,2021-04-01,2.6354230523332108e-5,2.4115567247724912e-5,2.2779837076607272e-5
MYS,Malaysia,2021-05-01,2.4629299575301632e-5,2.539905212474986e-5,2.591038922300273e-5
MYS,Malaysia,2021-06-01,2.093393321750572e-5,2.1925153644521504e-5,2.2508621013624238e-5
MYS,Malaysia,2021-07-01,2.0355812900303214e-5,2.0563428267029227e-5,2.0877353964591775e-5
MYS,Malaysia,2021-08-01,1.9236355431674734e-5,1.9373087758373955e-5,1.9518700967261576e-5
MYS,Malaysia,2021-09-01,2.145151282433008e-5,2.1132316861992486e-5,2.0652213506526838e-5
MYS,Malaysia,2021-10-01,2.4146576205849797e-5,2.3269474801159015e-5,2.2770513501147826e-5
MYS,Malaysia,2021-11-01,2.335032754778817e-5,2.3677973996811797e-5,2.3312664602337735e-5
MYS,Malaysia,2021-12-01,2.0335648900297164e-5,2.0772469181367806e-5,2.1624277788248386e-5
MYS,Malaysia,2022-01-01,2.3061794327772762e-5,2.2594064981705984e-5,2.218943311226221e-5
MYS,Malaysia,2022-02-01,2.0033823800843045e-5,2.1454098202519208e-5,2.1989488268708376e-5
MYS,Malaysia,2022-03-01,2.2798373403107457e-5,2.1878150340806288e-5,2.1082063302274202e-5
MYS,Malaysia,2022-04-01,2.4736226972078575e-5,2.432938333959962e-5,2.4722835533089417e-5
MYS,Malaysia,2022-05-01,2.4461115482882736e-5,2.445354548538809e-5,2.3654424637959152e-05
MYS,Malaysia,2022-06-01,2.4131633471755696e-5,2.4542773770203123e-5,2.504118449314216e-5
MYS,Malaysia,2022-07-01,2.4574344613262276e-5,2.4749164332794456e-5,2.4464475931788064e-5
MYS,Malaysia,2022-08-01,2.3105206396012135e-5,2.3469044328347544e-5,2.396279680956977e-5
MYS,Malaysia,2022-09-01,2.1993967012966407e-5,2.1581224662015925e-5,2.2094745667720633e-5
MYS,Malaysia,2022-10-01,2.4083177028214092e-5,2.381133641539833e-5,2.300028118921332e-5
MYS,Malaysia,2022-11-01,2.2056780827956194e-5,2.258928108192903e-5,2.3126315325582758e-5
MYS,Malaysia,2022-12-01,2.0208287255815672e-5,2.04993981648212e-5,2.092469066516534e-5
MYS,Malaysia,2023-01-01,2.1947647787575868e-5,2.248401819995182e-5,2.2184746644314826e-5
MYS,Malaysia,2023-02-01,2.1622899403448115e-5,2.1493854702487363e-5,2.140140077538218e-5
MYS,Malaysia,2023-03-01,2.155278584659864e-5,1.9985917696222943e-5,1.970470942366154e-5
MYS,Malaysia,2023-04-01,2.9391587125959528e-5,2.8972293973363993e-5,2.6671040985476788e-5
MYS,Malaysia,2023-05-01,2.8491289208666156e-5,2.784024237809134e-5,2.8783260848254907e-5
MYS,Malaysia,2023-06-01,2.7699564571077907e-5,2.841496806560992e-5,2.8652636156838405e-5
