country_iso3,country_name,date,country_no2_index_daily_average,country_no2_index_14dma_average,country_no2_index_28dma_average
SGP,Singapore,2019-01-01,5.164715894742722e-5,5.490557361204999e-5,5.992381949319206e-5
SGP,Singapore,2019-02-01,5.71283827174306e-5,5.376401757081585e-5,4.9275908368452456e-5
SGP,Singapore,2019-03-01,7.418748877553938e-5,6.787743572081364e-5,6.526197698667414e-5
SGP,Singapore,2019-04-01,9.457493130250962e-5,9.598039243306784e-5,9.187413850554583e-5
SGP,Singapore,2019-05-01,7.976205420094331e-5,8.300057233752247e-5,8.551241711859919e-5
SGP,Singapore,2019-06-01,6.071539522542554e-5,6.350947035420006e-5,6.754714500700546e-5
SGP,Singapore,2019-07-01,4.682586460046136e-5,4.783477906480242e-5,5.109410662048494e-5
SGP,Singapore,2019-08-01,4.1280109623692635e-5,4.1948868261927666e-5,4.219260329837869e-5
SGP,Singapore,2019-09-01,6.42268888524626e-5,5.016787888380701e-5,4.678183477033734e-5
SGP,Singapore,2019-10-01,7.536372790237411e-5,8.020992380481942e-5,7.604560525963478e-5
SGP,Singapore,2019-11-01,9.29439325012234e-5,9.339289733769294e-5,8.86149993605087e-5
SGP,Singapore,2019-12-01,5.045403702052239e-5,6.642214911832795e-5,7.208198678555121e-5
SGP,Singapore,2020-01-01,4.389512677773532e-5,4.1138127713829e-5,4.452773928301279e-5
SGP,Singapore,2020-02-01,6.0077880730676365e-5,6.236697535759919e-5,5.665218745531896e-5
SGP,Singapore,2020-03-01,6.889699502006344e-5,6.511086470404569e-5,6.5863595156582e-5
SGP,Singapore,2020-04-01,6.404368153819334e-5,5.927033295841694e-5,6.27725090878933e-5
SGP,Singapore,2020-05-01,8.012158199381753e-5,8.10481480218177e-5,7.623122180373109e-5
SGP,Singapore,2020-06-01,4.9043506231649507e-5,5.6371897091587924e-5,6.373320819234881e-5
SGP,Singapore,2020-07-01,5.205437066023634e-5,5.2623251371782745e-5,4.9075860250381204e-5
SGP,Singapore,2020-08-01,4.4313633610218824e-5,4.408284258058207e-5,4.6956930203567116e-5
