country_iso3,country_name,date,country_no2_index_daily_average,country_no2_index_14dma_average,country_no2_index_28dma_average
KOR,South Korea,2019-01-01,1.4265509001071887e-4,1.3997446602047098e-4,1.4199385454122127e-4
KOR,South Korea,2019-02-01,1.264245531257165e-4,1.2119779186510302e-4,1.23389477147397e-4
KOR,South Korea,2019-03-01,1.0373532566890053e-4,1.200950069307011e-4,1.285711138916913e-4
KOR,South Korea,2019-04-01,9.42932900080366e-5,9.282509031351894e-5,9.208216590390156e-5
KOR,South Korea,2019-05-01,7.454314651179894e-5,7.954762198062394e-5,8.553783120696944e-5
KOR,South Korea,2019-06-01,6.7809545922194e-5,6.440643514584609e-5,6.511638284706245e-5
KOR,South Korea,2019-07-01,4.728495759003666e-5,5.5160622229397625e-5,5.993068418924417e-5
KOR,South Korea,2019-08-01,4.592317064339788e-5,4.328596132548144e-5,4.3272166807654984e-5
KOR,South Korea,2019-09-01,8.147836108340572e-5,7.54898990841114e-5,7.145319855166534e-5
KOR,South Korea,2019-10-01,8.903207544652129e-5,8.698911862663539e-5,7.852448566203859e-5
KOR,South Korea,2019-11-01,1.2486500679902057e-4,1.1024477240560292e-4,1.0471759806584759e-4
KOR,South Korea,2019-12-01,1.053956962127097e-4,1.1657433913123164e-4,1.1954414877946879e-4
KOR,South Korea,2020-01-01,1.2626545608210147e-4,1.2122487696693234e-4,1.1344638504085106e-4
KOR,South Korea,2020-02-01,9.627662695362221e-5,1.0341684871977198e-4,1.1489744405506234e-4
KOR,South Korea,2020-03-01,9.008452535272737e-5,8.772134570539595e-5,9.065125472208911e-5
KOR,South Korea,2020-04-01,6.57255280384582e-5,7.675486556375177e-5,8.159749310662983e-5
KOR,South Korea,2020-05-01,5.312376079367461e-5,5.094813134971556e-5,5.278577424439251e-5
KOR,South Korea,2020-06-01,5.2784797689379816e-5,5.449667075283515e-5,5.5139375060223745e-5
KOR,South Korea,2020-07-01,4.3483148458459336e-5,4.49940581007086e-5,4.75069102731338e-5
KOR,South Korea,2020-08-01,4.0143254619586596e-5,4.043480419629831e-5,4.088312070068186e-5
KOR,South Korea,2020-09-01,4.670105964331112e-5,4.4648355158949244e-5,4.285645260284442e-5
KOR,South Korea,2020-10-01,8.101768082900934e-5,7.192195213775889e-5,6.190602183798239e-5
KOR,South Korea,2020-11-01,1.0615800898693405e-4,1.0121125289253594e-4,9.819889124595517e-5
KOR,South Korea,2020-12-01,1.4197441662822138e-4,1.352247187215395e-4,1.269707147290337e-4
KOR,South Korea,2021-01-01,1.28576189314446e-4,1.3515945252894833e-4,1.3638467781467423e-4
KOR,South Korea,2021-02-01,9.889689222482143e-5,1.0506331822372961e-4,1.1585495985588544e-4
