country_iso3,country_name,date,country_no2_index_daily_average,country_no2_index_14dma_average,country_no2_index_28dma_average
THA,Thailand,2019-01-01,4.3906949652086755e-5,4.1765839026494946e-5,4.092870179184268e-5
THA,Thailand,2019-02-01,3.75628204392197e-5,3.9573571177589196e-5,4.15674097641513e-5
THA,Thailand,2019-03-01,3.9094340987379455e-5,3.858023841283962e-5,3.759880713873017e-5
THA,Thailand,2019-04-01,3.319708714233757e-5,3.4953337089646014e-5,3.7304601253759725e-5
THA,Thailand,2019-05-01,2.993308261962192e-5,3.0387086487351693e-5,3.086458810187905e-5
THA,Thailand,2019-06-01,2.4329362557947813e-5,2.617714150712e-5,2.7560059254549625e-5
THA,Thailand,2019-07-01,2.4530142171838735e-5,2.3423639838203615e-5,2.268964731073355e-5
THA,Thailand,2019-08-01,2.2271161307910623e-5,2.3270042389110704e-5,2.4367470369194815e-5
THA,Thailand,2019-09-01,2.5512354188747364e-5,2.403200791974993e-5,2.3333959937111857e-5
THA,Thailand,2019-10-01,3.16589277631117e-5,3.0318923418246595e-5,2.861945620695932e-5
THA,Thailand,2019-11-01,3.426663815202704e-5,3.384888397344233e-5,3.3113690598979336e-5
THA,Thailand,2019-12-01,3.86767828092593e-5,3.936940644614187e-5,3.886181813860559e-5
THA,Thailand,2020-01-01,3.830604466255395e-5,3.685245945773745e-5,3.661460980319476e-5
THA,Thailand,2020-02-01,3.7934947923144994e-5,3.7947006758657965e-5,3.8693123038459545e-5
THA,Thailand,2020-03-01,3.439550725189306e-5,3.505319069486495e-5,3.527378210219975e-5
THA,Thailand,2020-04-01,3.197921063123137e-5,3.1883015197808384e-5,3.256361731299301e-5
THA,Thailand,2020-05-01,2.685842438949443e-5,2.884295942928381e-5,3.0430899244611922e-5
THA,Thailand,2020-06-01,2.4432167293402295e-5,2.5181211638416436e-5,2.585036825337312e-5
THA,Thailand,2020-07-01,2.4451315995288984e-5,2.406790283668126e-5,2.345206647156007e-5
THA,Thailand,2020-08-01,2.191714914607945e-5,2.158805474254594e-5,2.2389651147993796e-5
THA,Thailand,2020-09-01,2.702556235209712e-5,2.758204931566712e-5,2.646002899043533e-5
THA,Thailand,2020-10-01,2.567340697610636e-5,2.4715541119722194e-5,2.523320355735329e-5
THA,Thailand,2020-11-01,3.126492285189746e-5,3.0187212725373796e-5,2.873832790221663e-5
THA,Thailand,2020-12-01,4.5355664977892367e-5,4.226945328376177e-5,3.895908891993421e-5
THA,Thailand,2021-01-01,4.284842931787404e-5,4.349686490766303e-5,4.373514875540767e-5
THA,Thailand,2021-02-01,4.016649209349462e-5,4.099493307825834e-5,4.2616676866530496e-5
THA,Thailand,2021-03-01,3.641939601225697e-5,3.683850437873076e-5,3.7379206267893115e-5
THA,Thailand,2021-04-01,3.338633634459392e-5,3.3555177059743894e-5,3.449086052128161e-5
THA,Thailand,2021-05-01,3.349262917005893e-5,3.520990028082303e-5,3.526909178100875e-5
THA,Thailand,2021-06-01,2.5316197837549724e-5,2.5978595715272465e-5,2.80351961274254e-5
THA,Thailand,2021-07-01,2.316142396745258e-5,2.4763900435145977e-5,2.5376740167028666e-5
THA,Thailand,2021-08-01,2.3522754450863202e-5,2.199989984708873e-5,2.0618354909405997e-5
THA,Thailand,2021-09-01,2.6659455378027814e-5,2.5999766833700833e-5,2.6281640626757247e-5
THA,Thailand,2021-10-01,2.873433172346542e-5,2.830324973643294e-5,2.825236353964873e-5
THA,Thailand,2021-11-01,4.109318721339918e-5,3.688967889714963e-5,3.360647448415187e-5
THA,Thailand,2021-12-01,4.651730955368095e-5,4.7896518524381036e-5,4.5665473294815826e-5
THA,Thailand,2022-01-01,4.221229336414103e-5,4.3855066759287964e-5,4.519025578838147e-5
THA,Thailand,2022-02-01,3.477238164478785e-5,3.361255856356374e-5,3.674876015263949e-5
THA,Thailand,2022-03-01,3.4134606291946975e-5,3.5636070473091815e-5,3.5433443843041704e-5
THA,Thailand,2022-04-01,3.72490271583715e-5,3.636785253128391e-5,3.550616306362395e-5
THA,Thailand,2022-05-01,2.7357249749709228e-5,2.9661693253071895e-5,3.188450032343393e-5
THA,Thailand,2022-06-01,2.583104277509275e-5,2.5749213041078428e-5,2.5568982580886118e-5
THA,Thailand,2022-07-01,2.579421895318915e-5,2.5601246228476205e-5,2.581024500907027e-5
THA,Thailand,2022-08-01,2.3979964226840623e-5,2.363851481726223e-5,2.435845675880097e-5
THA,Thailand,2022-09-01,2.6456445490367586e-5,2.8636965841050213e-5,2.8010543747652886e-5
THA,Thailand,2022-10-01,3.261339697569583e-5,2.9763549993070397e-5,2.7699801074476644e-5
THA,Thailand,2022-11-01,3.9050190492329065e-5,3.8771399458540625e-5,3.804018032921655e-5
THA,Thailand,2022-12-01,4.767830115060888e-5,4.536841567498436e-5,4.2367270648201756e-5
THA,Thailand,2023-01-01,4.881213581967461e-5,4.569675135747917e-5,4.6304512125725544e-5
THA,Thailand,2023-02-01,4.540318318249929e-5,4.7944292394135434e-5,5.003945295908458e-5
THA,Thailand,2023-03-01,4.3109206637863426e-5,4.446096182501433e-5,4.43397763129711e-5
THA,Thailand,2023-04-01,3.9705819309628287e-5,3.986135508577354e-5,4.009746243832239e-5
THA,Thailand,2023-05-01,3.5301749762791755e-5,3.589105795110639e-5,3.720326013422268e-5
THA,Thailand,2023-06-01,2.74955183841729e-5,2.9166209403464246e-5,3.091574997740071e-5
THA,Thailand,2023-07-01,2.7846903797096205e-5,2.9621648614123955e-5,2.880898050548753e-5
THA,Thailand,2023-08-01,2.3754753101331276e-5,2.351936217849914e-5,2.4342421249372727e-5
THA,Thailand,2023-09-01,2.5983846639143434e-5,2.538884168817564e-5,2.5313729814722046e-5
THA,Thailand,2023-10-01,3.0775581096676626e-5,2.9606567925472808e-5,2.8219287518894623e-5
THA,Thailand,2023-11-01,4.1361110816627073e-5,3.6656203260251e-5,3.4796861577090864e-5
THA,Thailand,2023-12-01,3.978718028506968e-5,4.193224931636369e-5,4.155037106972552e-5
THA,Thailand,2024-01-01,4.2369798980276444e-5,4.207461032270767e-5,4.1752222732789016e-5
THA,Thailand,2024-02-01,3.629204696186362e-5,3.886163094330015e-5,4.0362296793674466e-5
THA,Thailand,2024-03-01,3.727568632313598e-5,3.664649262891012e-5,3.688679527088631e-5
THA,Thailand,2024-04-01,3.481263461802141e-5,3.532688016838514e-5,3.600719323677276e-5
THA,Thailand,2024-05-01,3.051853931268083e-5,3.246915849480718e-5,3.2728697975118846e-5
THA,Thailand,2024-06-01,2.417181051957511e-5,2.3802386504281512e-5,2.5051796035939112e-5
THA,Thailand,2024-07-01,2.1931992958212372e-5,2.325028725153176e-5,2.467778293719732e-5
THA,Thailand,2024-08-01,2.4201936140265706e-5,2.2990894452796194e-5,2.2335525733363313e-5
THA,Thailand,2024-09-01,2.565054484681177e-5,2.498988645178281e-5,2.4794552572456392e-5
THA,Thailand,2024-10-01,3.300166038411735e-5,3.166001308748097e-5,2.9489357298603402e-05
THA,Thailand,2024-11-01,3.7571489009694076e-5,3.580406881434172e-5,3.500736204896224e-5
THA,Thailand,2024-12-01,4.701169685296941e-5,4.6666036931087295e-5,4.398946103168362e-5
THA,Thailand,2025-01-01,5.257231394975149e-5,4.9938712259629086e-5,4.820482577311502e-5
THA,Thailand,2025-02-01,4.0125093532873036e-5,4.5297671955000645e-5,4.960698707487324e-5
THA,Thailand,2025-03-01,3.728197879023325e-5,3.66798527603536e-5,3.682770113413586e-5
THA,Thailand,2025-04-01,3.2166046895820747e-5,3.299578295098587e-5,3.533615137575312e-5
THA,Thailand,2025-05-01,3.0087658943986647e-5,3.173660224495449e-5,3.147232270215923e-5
THA,Thailand,2025-06-01,2.344594319218226e-5,2.4726739342301462e-5,2.62878655563325e-5
THA,Thailand,2025-07-01,1.7217667673746e-5,1.8375144708793426e-5,1.9721757722719553e-5
THA,Thailand,2025-08-01,2.52667600764312e-5,2.3342268747679802e-5,2.1711353206133445e-5
THA,Thailand,2025-09-01,2.4041459693557426e-5,2.445669997938397e-5,2.4662750029694922e-5
THA,Thailand,2025-10-01,2.79632884962064e-5,2.7494244908016543e-5,2.6444304925392458e-5
THA,Thailand,2025-11-01,4.1663386013036955e-5,3.5307688596110395e-5,3.202497052025016e-5
THA,Thailand,2025-12-01,4.0504475965132735e-5,4.285711000234041e-5,4.338814730227959e-5
