Date,IP,PMI,NO2
Unit,2025=100,%,Index
Jan-18,75.609,53.1,
Feb-18,62.982,52.7,
Mar-18,77.647,53,
Apr-18,74.593,52.9,
May-18,73.22,52.7,
Jun-18,80.235,52.5,
Jul-18,78.538,52.3,
Aug-18,75.338,52.6,
Sep-18,76.101,52.4,
Oct-18,75.922,51.9,
Nov-18,75.374,51.5,
Dec-18,75.16,51.1,
Jan-19,79.071,50.7,5.99E-05
Feb-19,65.508,50.4,4.93E-05
Mar-19,71.617,50.8,6.53E-05
Apr-19,77.744,50.3,9.19E-05
May-19,71.457,49.9,8.55E-05
Jun-19,77.751,49.6,6.75E-05
Jul-19,82.248,49.8,5.11E-05
Aug-19,69.851,49.9,4.22E-05
Sep-19,75.015,49.5,4.68E-05
Oct-19,78.9,49.6,7.60E-05
Nov-19,66.096,49.8,8.86E-05
Dec-19,72.351,50.1,7.21E-05
Jan-20,81.987,50.3,4.45E-05
Feb-20,65.164,48.7,5.67E-05
Mar-20,87.026,45.4,6.59E-05
Apr-20,87.083,44.7,6.28E-05
May-20,65.838,46.8,7.62E-05
Jun-20,73.044,48,6.37E-05
Jul-20,76.374,50.2,4.91E-05
Aug-20,81.285,50.1,4.70E-05
Sep-20,94.47,50.3,5.22E-05
Oct-20,78.562,50.5,7.51E-05
Nov-20,78.905,50.4,7.73E-05
Dec-20,84.717,50.5,6.66E-05
Jan-21,89.877,50.7,5.02E-05
Feb-21,76.21,50.5,5.00E-05
Mar-21,95.09,50.8,6.53E-05
Apr-21,89.495,50.9,8.31E-05
May-21,83.82,50.7,9.61E-05
Jun-21,93.777,50.8,7.23E-05
Jul-21,89.009,51,6.62E-05
Aug-21,90.552,50.9,5.28E-05
Sep-21,92.584,50.8,6.21E-05
Oct-21,91.983,50.8,6.78E-05
Nov-21,90.13,50.6,8.95E-05
Dec-21,98.906,50.7,7.42E-05
Jan-22,90.927,50.6,5.31E-05
Feb-22,86.783,50.2,5.39E-05
Mar-22,99.299,50.1,6.15E-05
Apr-22,94.342,50.3,9.83E-05
May-22,93.099,50.4,7.62E-05
Jun-22,96.865,50.3,9.14E-05
Jul-22,90.595,50.1,7.48E-05
Aug-22,91.448,50,5.79E-05
Sep-22,93.643,49.9,7.38E-05
Oct-22,91.39,49.7,7.21E-05
Nov-22,86.794,49.8,7.16E-05
Dec-22,95.437,49.7,6.56E-05
Jan-23,88.249,49.8,6.41E-05
Feb-23,78.608,50,6.55E-05
Mar-23,95.151,49.9,5.10E-05
Apr-23,87.668,49.7,8.83E-05
May-23,82.968,49.5,9.20E-05
Jun-23,90.307,49.7,8.76E-05
Jul-23,90.104,49.8,7.84E-05
Aug-23,79.684,49.9,5.27E-05
Sep-23,92.494,50.1,5.76E-05
Oct-23,97.582,50.2,7.41E-05
Nov-23,86.9,50.3,9.67E-05
Dec-23,93.936,50.5,9.45E-05
Jan-24,89.438,50.7,5.80E-05
Feb-24,82.547,50.6,4.73E-05
Mar-24,87.101,50.7,4.73E-05
Apr-24,86.725,50.5,7.38E-05
May-24,85.297,50.6,1.00E-04
Jun-24,87.318,50.4,9.29E-05
Jul-24,92.824,50.7,8.03E-05
Aug-24,97.817,50.9,5.54E-05
Sep-24,101.025,51,6.11E-05
Oct-24,98.769,50.8,7.77E-05
Nov-24,96.323,51,9.21E-05
Dec-24,98.659,51.1,9.03E-05
Jan-25,98.527,50.9,5.15E-05
Feb-25,85.978,50.7,5.38E-05
Mar-25,96.808,50.6,5.22E-05
Apr-25,94.686,49.6,7.99E-05
May-25,92.169,49.7,9.55E-05
Jun-25,99.661,50,9.12E-05
Jul-25,104.751,49.9,8.69E-05
Aug-25,93.053,50,7.95E-05
Sep-25,107.134,50.1,7.86E-05
Oct-25,113.605,50,8.51E-05
Nov-25,104.179,50.2,7.89E-05
Dec-25,109.45,50.3,9.26E-05
Jan-26,111.252,50.5,4.94E-05
Feb-26,85.936,50.6,5.32E-05
Mar-26,,50.5,6.95E-05
